
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,22-302,TEN,,NWE,L 13-34,6,5,37,7.40,0,0,0,,0,0,0
2,2,2012-09-16,22-309,TEN,@,SDG,L 10-38,8,2,24,12.00,1,0,0,,0,1,6
3,3,2012-09-23,22-316,TEN,,DET,W 44-41,11,7,41,5.86,0,0,0,,0,0,0
4,4,2012-09-30,22-323,TEN,@,HOU,L 14-38,8,4,46,11.50,1,0,0,,0,1,6
5,5,2012-10-07,22-330,TEN,@,MIN,L 7-30,11,9,66,7.33,0,0,0,,0,0,0
6,6,2012-10-11,22-334,TEN,,PIT,W 26-23,8,6,71,11.83,0,0,0,,0,0,0
7,7,2012-10-21,22-344,TEN,@,BUF,W 35-34,3,3,19,6.33,0,0,0,,0,0,0
8,8,2012-10-28,22-351,TEN,,IND,L 13-19,5,4,47,11.75,1,0,0,,0,1,6
9,9,2012-11-04,22-358,TEN,,CHI,L 20-51,7,2,30,15.00,0,0,0,,0,0,0
10,10,2012-11-11,22-365,TEN,@,MIA,W 37-3,3,1,9,9.00,1,0,0,,0,1,6
11,11,2012-11-25,23-013,TEN,@,JAX,L 19-24,8,5,48,9.60,0,1,4,4.00,0,0,0
12,12,2012-12-02,23-020,TEN,,HOU,L 10-24,10,6,78,13.00,0,0,0,,0,0,0
13,13,2012-12-09,23-027,TEN,@,IND,L 23-27,9,5,39,7.80,0,0,0,,0,0,0
14,14,2012-12-17,23-035,TEN,,NYJ,W 14-10,4,3,31,10.33,0,0,0,,0,0,0
15,16,2012-12-30,23-048,TEN,,JAX,W 38-20,3,2,40,20.00,0,0,0,,0,0,0
,,15 Games,,,,,6-9-0,104,64,626,9.78,4,1,4,4.00,0,4,24
