
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,29-027,TEN,@,PIT,W 16-9,4,3,40,13.33,0,0,0,0.0,0,0
2,2,2013-09-15,29-034,TEN,@,HOU,L 24-30,2,1,10,10.00,1,1,6,0.0,0,0
3,3,2013-09-22,29-041,TEN,,SDG,W 20-17,8,5,49,9.80,0,0,0,0.0,0,0
4,4,2013-09-29,29-048,TEN,,NYJ,W 38-13,4,3,14,4.67,1,1,6,0.0,0,0
5,5,2013-10-06,29-055,TEN,,KAN,L 17-26,6,4,43,10.75,0,0,0,0.0,0,0
6,6,2013-10-13,29-062,TEN,@,SEA,L 13-20,5,4,29,7.25,0,0,0,0.0,0,0
7,7,2013-10-20,29-069,TEN,,SFO,L 17-31,5,3,52,17.33,1,1,6,0.0,1,0
8,8,2013-11-03,29-083,TEN,@,STL,W 28-21,2,2,13,6.50,0,0,0,0.0,0,0
9,9,2013-11-10,29-090,TEN,,JAX,L 27-29,8,4,62,15.50,1,1,6,0.0,0,0
10,10,2013-11-14,29-094,TEN,,IND,L 27-30,10,10,91,9.10,1,1,6,0.0,0,0
11,11,2013-11-24,29-104,TEN,@,OAK,W 23-19,9,5,46,9.20,0,0,0,0.0,0,0
12,12,2013-12-01,29-111,TEN,@,IND,L 14-22,2,1,5,5.00,0,0,0,0.0,0,0
13,14,2013-12-15,29-125,TEN,,ARI,L 34-37,11,8,53,6.63,1,1,6,0.0,1,0
14,15,2013-12-22,29-132,TEN,@,JAX,W 20-16,7,4,35,8.75,0,0,0,0.0,0,0
15,16,2013-12-29,29-139,TEN,,HOU,W 16-10,3,3,29,9.67,0,0,0,0.0,0,0
,,15 Games,,,,,7-8-0,86,60,571,9.52,6,6,36,0.0,2,0
