
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2014-09-07,26-084,TEN,@,KAN,W 26-10,*,22,33,66.67,266,2,0,111.4,8.06,9.27,6,14,2.33,0,0,0
2,2,2014-09-14,26-091,TEN,,DAL,L 10-26,*,18,34,52.94,234,1,2,60.2,6.88,4.82,2,9,4.50,0,0,0
3,3,2014-09-21,26-098,TEN,@,CIN,L 7-33,*,17,34,50.00,185,0,2,41.9,5.44,2.79,6,50,8.33,0,0,0
4,5,2014-10-05,26-112,TEN,,CLE,L 28-29,*,8,11,72.73,79,1,0,122.9,7.18,9.00,4,34,8.50,1,1,6
5,12,2014-11-30,26-168,TEN,@,HOU,L 21-45,,6,12,50.00,91,1,2,63.5,7.58,1.75,0,0,,0,0,0
6,13,2014-12-07,26-175,TEN,,NYG,L 7-36,,9,11,81.82,81,0,1,59.5,7.36,3.27,2,28,14.00,0,0,0
7,14,2014-12-14,26-182,TEN,,NYJ,L 11-16,*,6,11,54.55,57,0,0,69.1,5.18,5.18,2,7,3.50,0,0,0
,,7 Games,,,,,1-6-0,,86,146,58.90,993,5,7,70.9,6.80,5.33,22,142,6.45,1,1,6
