
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,24-299,TEN,@,KAN,W 26-10,7,6,46,7.67,1,0,0,,0,1,6,0.0,0,0
2,2,2014-09-14,24-306,TEN,,DAL,L 10-26,5,3,31,10.33,0,0,0,,0,0,0,0.0,0,0
3,3,2014-09-21,24-313,TEN,@,CIN,L 7-33,10,5,44,8.80,0,0,0,,0,0,0,0.0,1,0
4,4,2014-09-28,24-320,TEN,@,IND,L 17-41,8,5,55,11.00,0,0,0,,0,0,0,0.0,0,0
5,5,2014-10-05,24-327,TEN,,CLE,L 28-29,8,6,47,7.83,2,2,43,21.50,0,2,12,0.0,0,0
6,6,2014-10-12,24-334,TEN,,JAX,W 16-14,1,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
7,7,2014-10-19,24-341,TEN,@,WAS,L 17-19,9,6,68,11.33,1,0,0,,0,1,6,0.0,0,0
8,8,2014-10-26,24-348,TEN,,HOU,L 16-30,5,3,53,17.67,0,0,0,,0,0,0,0.0,0,0
9,9,2014-11-09,24-362,TEN,@,BAL,L 7-21,7,4,53,13.25,0,1,1,1.00,0,0,0,0.0,0,0
10,10,2014-11-17,25-005,TEN,,PIT,L 24-27,8,4,70,17.50,0,0,0,,0,0,0,0.0,0,0
11,11,2014-11-23,25-011,TEN,@,PHI,L 24-43,6,1,28,28.00,0,0,0,,0,0,0,0.0,0,0
12,12,2014-11-30,25-018,TEN,@,HOU,L 21-45,9,7,132,18.86,1,0,0,,0,1,6,0.0,1,1
13,15,2014-12-18,25-036,TEN,@,JAX,L 13-21,5,4,73,18.25,0,0,0,,0,0,0,0.0,0,0
14,16,2014-12-28,25-046,TEN,,IND,L 10-27,5,2,9,4.50,1,1,10,10.00,0,1,6,0.0,0,0
,,14 Games,,,,,2-12-0,93,57,715,12.54,6,4,54,13.50,0,6,36,0.0,2,1
