
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,27-350,TEN,@,PIT,W 16-9,25,70,2.80,0,0,0,0,,0,0,0,0.0,0,0
2,2,2013-09-15,27-357,TEN,@,HOU,L 24-30,25,96,3.84,0,1,1,1,1.00,0,0,0,0.0,0,0
3,3,2013-09-22,27-364,TEN,,SDG,W 20-17,19,90,4.74,0,2,1,1,1.00,0,0,0,0.0,0,0
4,4,2013-09-29,28-006,TEN,,NYJ,W 38-13,15,21,1.40,0,2,2,10,5.00,0,0,0,0.0,0,0
5,5,2013-10-06,28-013,TEN,,KAN,L 17-26,10,17,1.70,0,5,4,63,15.75,1,1,6,0.0,0,0
6,6,2013-10-13,28-020,TEN,@,SEA,L 13-20,12,33,2.75,0,4,3,21,7.00,0,0,0,0.0,0,0
7,7,2013-10-20,28-027,TEN,,SFO,L 17-31,9,39,4.33,0,4,4,71,17.75,1,1,6,0.0,0,0
8,8,2013-11-03,28-041,TEN,@,STL,W 28-21,23,150,6.52,2,4,3,20,6.67,0,2,12,0.0,0,0
9,9,2013-11-10,28-048,TEN,,JAX,L 27-29,12,30,2.50,0,7,5,43,8.60,0,0,0,0.0,0,0
10,10,2013-11-14,28-052,TEN,,IND,L 27-30,17,86,5.06,2,1,1,-2,-2.00,0,2,12,0.0,0,0
11,11,2013-11-24,28-062,TEN,@,OAK,W 23-19,20,73,3.65,0,5,3,8,2.67,0,0,0,0.0,0,0
12,12,2013-12-01,28-069,TEN,@,IND,L 14-22,18,69,3.83,0,7,6,32,5.33,1,1,6,0.0,1,0
13,13,2013-12-08,28-076,TEN,@,DEN,L 28-51,12,46,3.83,1,3,2,9,4.50,0,1,6,0.0,0,0
14,14,2013-12-15,28-083,TEN,,ARI,L 34-37,13,40,3.08,0,3,3,51,17.00,1,1,6,0.0,0,0
15,15,2013-12-22,28-090,TEN,@,JAX,W 20-16,22,90,4.09,0,1,1,3,3.00,0,0,0,0.0,0,0
16,16,2013-12-29,28-097,TEN,,HOU,W 16-10,27,127,4.70,1,3,3,14,4.67,0,1,6,0.0,0,0
,,16 Games,,,,,7-9-0,279,1077,3.86,6,52,42,345,8.21,4,10,60,0.0,1,0
