
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,4,2014-09-28,23-074,TEN,@,IND,L 17-41,,2,5,40.00,17,0,1,10.0,3.40,-5.60,0,0,,0
2,8,2014-10-26,23-102,TEN,,HOU,L 16-30,*,27,41,65.85,299,2,1,93.4,7.29,7.17,1,-1,-1.00,0
3,9,2014-11-09,23-116,TEN,@,BAL,L 7-21,*,16,27,59.26,179,1,1,76.0,6.63,5.70,0,0,,0
4,10,2014-11-17,23-124,TEN,,PIT,L 24-27,*,15,24,62.50,263,2,1,110.2,10.96,10.75,0,0,,0
5,11,2014-11-23,23-130,TEN,@,PHI,L 24-43,*,20,39,51.28,345,2,1,88.1,8.85,8.72,2,-2,-1.00,0
6,12,2014-11-30,23-137,TEN,@,HOU,L 21-45,*,13,19,68.42,184,1,1,95.1,9.68,8.37,1,8,8.00,0
7,13,2014-12-07,23-144,TEN,,NYG,L 7-36,*,14,24,58.33,125,0,1,55.0,5.21,3.33,1,-1,-1.00,0
,,7 Games,,,,,0-7-0,,107,179,59.78,1412,8,7,83.4,7.89,7.02,5,4,0.80,0
