
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-014,TEN,@,JAX,L 14-16,7,6,67,11.17,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,28-021,TEN,,BAL,W 26-13,11,7,99,14.14,0,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,28-028,TEN,,DEN,W 17-14,9,8,92,11.50,1,0,0,,0,1,6,0.0,0,0
4,4,2011-10-02,28-035,TEN,@,CLE,W 31-13,4,2,62,31.00,0,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,28-042,TEN,@,PIT,L 17-38,8,5,69,13.80,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-23,28-056,TEN,,HOU,L 7-41,3,1,10,10.00,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-30,28-063,TEN,,IND,W 27-10,6,4,34,8.50,1,1,3,3.00,1,2,12,0.0,0,0
8,8,2011-11-06,28-070,TEN,,CIN,L 17-24,6,3,28,9.33,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,28-077,TEN,@,CAR,W 30-3,4,3,40,13.33,0,1,2,2.00,0,0,0,0.0,0,0
10,10,2011-11-20,28-084,TEN,@,ATL,L 17-23,9,9,115,12.78,2,0,0,,0,2,12,0.0,0,0
11,11,2011-11-27,28-091,TEN,,TAM,W 23-17,6,1,12,12.00,0,0,0,,0,0,0,0.0,1,0
12,12,2011-12-04,28-098,TEN,@,BUF,W 23-17,6,4,40,10.00,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,28-105,TEN,,NOR,L 17-22,9,6,130,21.67,1,0,0,,0,1,6,0.0,0,0
14,14,2011-12-18,28-112,TEN,@,IND,L 13-27,13,7,62,8.86,1,0,0,,0,1,6,0.0,0,0
15,15,2011-12-24,28-118,TEN,,JAX,W 23-17,11,4,71,17.75,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,28-126,TEN,@,HOU,W 23-22,9,4,92,23.00,1,0,0,,0,1,6,0.0,0,0
,,16 Games,,,,,9-7-0,121,74,1023,13.82,7,2,5,2.50,1,8,48,0.0,1,0
