
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,23-110,TEN,@,KAN,W 26-10,8,3,63,21.00,0,0,0,0.0,0,0
2,2,2014-09-14,23-117,TEN,,DAL,L 10-26,6,2,26,13.00,0,0,0,0.0,0,0
3,3,2014-09-21,23-124,TEN,@,CIN,L 7-33,7,3,37,12.33,0,0,0,0.0,0,0
4,4,2014-09-28,23-131,TEN,@,IND,L 17-41,5,1,12,12.00,0,0,0,0.0,1,0
5,5,2014-10-05,23-138,TEN,,CLE,L 28-29,5,3,99,33.00,1,1,6,0.0,0,0
6,6,2014-10-12,23-145,TEN,,JAX,W 16-14,5,3,77,25.67,0,0,0,0.0,0,0
7,7,2014-10-19,23-152,TEN,@,WAS,L 17-19,2,1,6,6.00,0,0,0,0.0,0,0
8,8,2014-10-26,23-159,TEN,,HOU,L 16-30,10,4,31,7.75,1,1,6,0.0,0,0
9,9,2014-11-09,23-173,TEN,@,BAL,L 7-21,2,1,17,17.00,0,0,0,0.0,0,0
10,10,2014-11-17,23-181,TEN,,PIT,L 24-27,4,2,48,24.00,0,0,0,0.0,0,0
11,11,2014-11-23,23-187,TEN,@,PHI,L 24-43,10,4,64,16.00,1,1,6,0.0,1,0
12,12,2014-11-30,23-194,TEN,@,HOU,L 21-45,3,1,18,18.00,0,0,0,0.0,0,0
,,12 Games,,,,,2-10-0,67,28,498,17.79,3,3,18,0.0,2,0
