
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,26-174,MIN,@,SDG,L 17-24,16,98,6.13,0,3,2,6,3.00,0,0,0,0.0,0,0
2,2,2011-09-18,26-181,MIN,,TAM,L 20-24,25,120,4.80,2,3,2,21,10.50,0,2,12,0.0,1,0
3,3,2011-09-25,26-188,MIN,,DET,L 23-26,17,78,4.59,1,5,4,19,4.75,0,1,6,0.0,0,0
4,4,2011-10-02,26-195,MIN,@,KAN,L 17-22,23,80,3.48,0,1,1,3,3.00,0,0,0,0.0,0,0
5,5,2011-10-09,26-202,MIN,,ARI,W 34-10,29,122,4.21,3,0,0,0,,0,3,18,0.0,0,0
6,6,2011-10-16,26-209,MIN,@,CHI,L 10-39,12,39,3.25,1,1,1,0,0.00,0,1,6,0.0,0,0
7,7,2011-10-23,26-216,MIN,,GNB,L 27-33,24,175,7.29,1,1,1,0,0.00,0,1,6,0.0,0,0
8,8,2011-10-30,26-223,MIN,@,CAR,W 24-21,20,83,4.15,1,5,5,76,15.20,1,2,12,0.0,0,0
9,9,2011-11-14,26-238,MIN,@,GNB,L 7-45,14,51,3.64,1,1,0,0,,0,1,6,0.0,0,0
10,10,2011-11-20,26-244,MIN,,OAK,L 21-27,6,26,4.33,1,0,0,0,,0,1,6,0.0,0,0
11,14,2011-12-18,26-272,MIN,,NOR,L 20-42,10,60,6.00,0,1,0,0,,0,0,0,0.0,0,0
12,15,2011-12-24,26-278,MIN,@,WAS,W 33-26,12,38,3.17,1,3,2,14,7.00,0,1,6,0.0,0,0
,,12 Games,,,,,3-9-0,208,970,4.66,12,24,18,139,7.72,1,13,78,0.0,1,0
