
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,23-106,MIN,@,SDG,L 17-24,4,2,7,3.50,0,4,15,3.75,0,1,103,103.00,1,0,6,0.0,0,0
2,2,2011-09-18,23-113,MIN,,TAM,L 20-24,9,7,76,10.86,0,2,18,9.00,0,1,2,2.00,0,0,0,0.0,0,0
3,3,2011-09-25,23-120,MIN,,DET,L 23-26,5,3,47,15.67,0,2,41,20.50,0,2,47,23.50,0,0,0,0.0,0,0
4,4,2011-10-02,23-127,MIN,@,KAN,L 17-22,7,5,42,8.40,0,4,67,16.75,0,1,25,25.00,0,0,0,0.0,0,0
5,5,2011-10-09,23-134,MIN,,ARI,W 34-10,2,1,11,11.00,0,1,12,12.00,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-16,23-141,MIN,@,CHI,L 10-39,9,7,78,11.14,0,1,5,5.00,0,2,48,24.00,0,0,0,0.0,0,0
7,7,2011-10-23,23-148,MIN,,GNB,L 27-33,3,2,15,7.50,0,2,8,4.00,0,2,55,27.50,0,0,0,0.0,0,0
8,8,2011-10-30,23-155,MIN,@,CAR,W 24-21,5,4,58,14.50,0,4,19,4.75,1,0,0,,0,1,6,0.0,1,0
9,9,2011-11-14,23-170,MIN,@,GNB,L 7-45,8,6,52,8.67,0,3,18,6.00,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-20,23-176,MIN,,OAK,L 21-27,8,6,73,12.17,1,5,21,4.20,0,1,14,14.00,0,1,6,0.0,0,0
11,11,2011-11-27,23-183,MIN,@,ATL,L 14-24,8,8,95,11.88,1,5,11,2.20,0,1,104,104.00,0,1,6,0.0,0,0
12,12,2011-12-04,23-190,MIN,,DEN,L 32-35,9,8,156,19.50,2,5,19,3.80,0,0,0,,0,2,12,0.0,0,0
13,13,2011-12-11,23-197,MIN,@,DET,L 28-34,15,10,69,6.90,1,4,40,10.00,0,1,47,47.00,0,1,6,0.0,0,0
14,14,2011-12-18,23-204,MIN,,NOR,L 20-42,7,3,8,2.67,0,1,-1,-1.00,0,1,28,28.00,0,0,0,0.0,0,0
15,15,2011-12-24,23-210,MIN,@,WAS,W 33-26,6,5,65,13.00,1,4,39,9.75,0,3,47,15.67,0,1,6,0.0,0,0
16,16,2012-01-01,23-218,MIN,,CHI,L 13-17,16,10,115,11.50,0,5,13,2.60,1,0,0,,0,1,6,0.0,0,0
,,16 Games,,,,,3-13-0,121,87,967,11.11,6,52,345,6.63,2,16,520,32.50,1,8,54,0.0,1,0
