
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,25-195,MIN,@,DET,L 24-34,*,18,28,64.29,236,1,3,63.1,8.43,4.32,4,12,3.00,0,0,0,0.0,0,0
2,2,2013-09-15,25-202,MIN,@,CHI,L 30-31,*,16,30,53.33,227,1,1,75.3,7.57,6.73,6,18,3.00,0,0,0,0.0,0,0
3,3,2013-09-22,25-209,MIN,,CLE,L 27-31,*,25,42,59.52,228,0,1,64.4,5.43,4.36,5,46,9.20,2,2,12,0.0,0,0
4,7,2013-10-27,25-244,MIN,,GNB,L 31-44,*,14,21,66.67,145,0,0,86.4,6.90,6.90,5,38,7.60,1,1,6,0.0,0,0
5,8,2013-11-03,25-251,MIN,@,DAL,L 23-27,*,25,37,67.57,236,1,1,82.7,6.38,5.70,4,29,7.25,1,1,6,0.0,0,0
6,9,2013-11-07,25-255,MIN,,WAS,W 34-27,*,17,21,80.95,174,2,1,113.1,8.29,8.05,2,13,6.50,0,0,0,0.0,0,0
7,10,2013-11-17,25-265,MIN,@,SEA,L 20-41,*,13,22,59.09,129,1,2,53.0,5.86,2.68,5,0,0.00,0,0,0,0.0,0,0
8,11,2013-11-24,25-272,MIN,@,GNB,T 26-26,*,21,30,70.00,233,1,0,103.9,7.77,8.43,3,-5,-1.67,0,0,0,0.0,1,0
9,12,2013-12-01,25-279,MIN,,CHI,W 23-20,*,3,8,37.50,40,0,0,54.2,5.00,5.00,0,0,,0,0,0,0.0,0,0
,,9 Games,,,,,2-6-1,,152,239,63.60,1648,7,9,77.9,6.90,5.79,34,151,4.44,4,4,24,0.0,1,0
