
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,3,2014-09-21,21-315,MIN,@,NOR,L 9-20,,12,20,60.00,150,0,0,83.3,7.50,7.50,6,27,4.50,0,0,0,0.0,0,0
2,4,2014-09-28,21-322,MIN,,ATL,W 41-28,*,19,30,63.33,317,0,0,98.9,10.57,10.57,5,27,5.40,1,1,6,0.0,0,0
3,6,2014-10-12,21-336,MIN,,DET,L 3-17,*,23,37,62.16,188,0,3,41.3,5.08,1.43,3,11,3.67,0,0,0,0.0,0,0
4,7,2014-10-19,21-343,MIN,@,BUF,L 16-17,*,15,26,57.69,157,1,2,56.1,6.04,3.35,1,7,7.00,0,0,0,0.0,0,0
5,8,2014-10-26,21-350,MIN,@,TAM,W 19-13,*,24,42,57.14,241,1,0,81.5,5.74,6.21,1,3,3.00,0,0,0,0.0,0,0
6,9,2014-11-02,21-357,MIN,,WAS,W 29-26,*,26,42,61.90,268,1,0,88.2,6.38,6.86,3,20,6.67,0,0,0,0.0,0,0
7,10,2014-11-16,22-006,MIN,@,CHI,L 13-21,*,18,28,64.29,158,1,1,76.2,5.64,4.75,4,2,0.50,0,0,0,0.0,0,0
8,11,2014-11-23,22-013,MIN,,GNB,L 21-24,*,21,37,56.76,210,2,1,79.8,5.68,5.54,5,32,6.40,0,0,0,0.0,0,0
9,12,2014-11-30,22-020,MIN,,CAR,W 31-13,*,15,21,71.43,138,2,0,120.7,6.57,8.48,2,12,6.00,0,0,0,0.0,0,0
10,13,2014-12-07,22-027,MIN,,NYJ,W 30-24,*,19,27,70.37,309,2,1,117.7,11.44,11.26,3,7,2.33,0,0,0,0.0,0,0
11,14,2014-12-14,22-034,MIN,@,DET,L 14-16,*,31,41,75.61,315,1,2,84.9,7.68,5.98,3,30,10.00,0,0,0,0.0,0,0
12,15,2014-12-21,22-041,MIN,@,MIA,L 35-37,*,19,26,73.08,259,2,1,114.1,9.96,9.77,5,13,2.60,0,0,0,0.0,0,0
13,16,2014-12-28,22-048,MIN,,CHI,W 13-9,*,17,25,68.00,209,1,1,90.2,8.36,7.36,6,18,3.00,0,0,0,0.0,1,0
,,13 Games,,,,,6-7-0,,259,402,64.43,2919,14,12,85.2,7.26,6.61,47,209,4.45,1,1,6,0.0,1,0
