
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,24-286,MIN,@,STL,W 34-6,3,2,25,12.50,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,24-293,MIN,,NWE,L 7-30,3,1,12,12.00,0,1,-5,-5.00,0,0,0,0.0,1,0
3,3,2014-09-21,24-300,MIN,@,NOR,L 9-20,,,,,,,,,,,,,,
4,4,2014-09-28,24-307,MIN,,ATL,W 41-28,10,8,132,16.50,0,0,0,,0,0,0,0.0,0,0
5,5,2014-10-02,24-311,MIN,@,GNB,L 10-42,8,3,27,9.00,0,0,0,,0,0,0,0.0,0,0
6,6,2014-10-12,24-321,MIN,,DET,L 3-17,6,4,17,4.25,0,1,21,21.00,0,0,0,0.0,0,0
7,7,2014-10-19,24-328,MIN,@,BUF,L 16-17,4,4,60,15.00,0,0,0,,0,0,0,0.0,0,0
8,8,2014-10-26,24-335,MIN,@,TAM,W 19-13,3,2,13,6.50,0,0,0,,0,0,0,0.0,0,0
9,9,2014-11-02,24-342,MIN,,WAS,W 29-26,4,2,29,14.50,0,0,0,,0,0,0,0.0,0,0
10,10,2014-11-16,24-356,MIN,@,CHI,L 13-21,1,0,0,,0,0,0,,0,0,0,0.0,0,0
11,11,2014-11-23,24-363,MIN,,GNB,L 21-24,1,0,0,,0,0,0,,0,0,0,0.0,0,0
12,12,2014-11-30,25-005,MIN,,CAR,W 31-13,2,2,40,20.00,0,1,5,5.00,0,0,0,0.0,0,0
13,13,2014-12-07,25-012,MIN,,NYJ,W 30-24,5,4,123,30.75,1,1,23,23.00,0,1,6,0.0,0,0
14,14,2014-12-14,25-019,MIN,@,DET,L 14-16,6,4,49,12.25,0,0,0,,0,0,0,0.0,0,0
15,15,2014-12-21,25-026,MIN,@,MIA,L 35-37,3,3,38,12.67,1,1,27,27.00,0,1,6,0.0,0,0
16,16,2014-12-28,25-033,MIN,,CHI,W 13-9,3,3,23,7.67,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,7-9-0,62,42,588,14.00,2,5,71,14.20,0,2,12,0.0,1,0
