
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts
1,1,2012-09-09,22-305,MIN,,JAX,W 26-23,7,5,67,13.40,0,0,0,,0,,0,0
2,2,2012-09-16,22-312,MIN,@,IND,L 20-23,5,3,35,11.67,1,0,0,,0,,1,6
3,3,2012-09-23,22-319,MIN,,SFO,W 24-13,6,5,36,7.20,2,0,0,,0,,2,12
4,4,2012-09-30,22-326,MIN,@,DET,W 20-13,5,2,8,4.00,0,0,0,,0,,0,0
5,5,2012-10-07,22-333,MIN,,TEN,W 30-7,7,4,23,5.75,1,0,0,,0,,1,6
6,6,2012-10-14,22-340,MIN,@,WAS,L 26-38,11,6,56,9.33,1,0,0,,0,1,1,8
7,7,2012-10-21,22-347,MIN,,ARI,W 21-14,4,0,0,,0,0,0,,0,,0,0
8,8,2012-10-25,22-351,MIN,,TAM,L 17-36,2,2,17,8.50,0,0,0,,0,,0,0
9,9,2012-11-04,22-361,MIN,@,SEA,L 20-30,2,0,0,,0,0,0,,0,,0,0
10,10,2012-11-11,23-002,MIN,,DET,W 34-24,9,7,64,9.14,1,0,0,,0,,1,6
11,11,2012-11-25,23-016,MIN,@,CHI,L 10-28,9,5,55,11.00,1,0,0,,0,,1,6
12,12,2012-12-02,23-023,MIN,@,GNB,L 14-23,8,6,51,8.50,1,0,0,,0,,1,6
13,13,2012-12-09,23-030,MIN,,CHI,W 21-14,2,0,0,,0,1,1,1.00,0,,0,0
14,14,2012-12-16,23-037,MIN,@,STL,W 36-22,4,3,22,7.33,0,0,0,,0,,0,0
15,15,2012-12-23,23-044,MIN,@,HOU,W 23-6,6,3,39,13.00,1,0,0,,0,,1,6
16,16,2012-12-30,23-051,MIN,,GNB,W 37-34,6,2,20,10.00,0,0,0,,0,,0,0
,,16 Games,,,,,10-6-0,93,53,493,9.30,9,1,1,1.00,0,1,9,56
