
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1,2013-09-08,22-175,MIN,@,DET,L 24-34,1,1,10,10.00,0,0,0,,0,2,54,27.00,0,0,0
2,2,2013-09-15,22-182,MIN,@,CHI,L 30-31,2,2,14,7.00,0,0,0,,0,3,149,49.67,1,0,6
3,3,2013-09-22,22-189,MIN,,CLE,L 27-31,4,2,49,24.50,0,1,0,0.00,0,2,59,29.50,0,0,0
4,4,2013-09-29,22-196,MIN,,PIT,W 34-27,2,1,9,9.00,0,0,0,,0,5,144,28.80,0,0,0
5,5,2013-10-13,22-210,MIN,,CAR,L 10-35,2,2,3,1.50,0,0,0,,0,0,0,,0,0,0
6,6,2013-10-21,22-218,MIN,@,NYG,L 7-23,6,3,22,7.33,0,1,2,2.00,0,1,69,69.00,0,0,0
7,7,2013-10-27,22-224,MIN,,GNB,L 31-44,3,2,26,13.00,0,0,0,,0,5,228,45.60,1,0,6
8,8,2013-11-03,22-231,MIN,@,DAL,L 23-27,4,3,13,4.33,0,0,0,,0,4,105,26.25,0,0,0
9,9,2013-11-07,22-235,MIN,,WAS,W 34-27,4,2,22,11.00,1,0,0,,0,2,37,18.50,0,1,6
10,10,2013-11-17,22-245,MIN,@,SEA,L 20-41,9,3,28,9.33,0,0,0,,0,4,117,29.25,0,0,0
11,11,2013-11-24,22-252,MIN,@,GNB,T 26-26,11,8,54,6.75,0,0,0,,0,4,126,31.50,0,0,0
12,12,2013-12-01,22-259,MIN,,CHI,W 23-20,4,1,4,4.00,0,2,27,13.50,1,0,0,,0,1,6
13,13,2013-12-08,22-266,MIN,@,BAL,L 26-29,7,5,141,28.20,1,1,6,6.00,0,4,111,27.75,0,1,6
14,14,2013-12-15,22-273,MIN,,PHI,W 48-30,6,5,35,7.00,1,2,15,7.50,0,0,0,,0,1,6
15,15,2013-12-22,22-280,MIN,@,CIN,L 14-42,7,3,8,2.67,0,3,54,18.00,1,4,143,35.75,0,1,6
16,16,2013-12-29,22-287,MIN,,DET,W 14-13,5,2,31,15.50,1,2,54,27.00,1,3,51,17.00,0,2,12
,,16 Games,,,,,5-10-1,77,45,469,10.42,4,12,158,13.17,3,43,1393,32.40,2,7,54
