
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,30-351,MIN,@,STL,W 34-6,7,6,58,9.67,1,1,6,0.0,0,0
2,2,2014-09-14,30-358,MIN,,NWE,L 7-30,5,1,4,4.00,0,0,0,0.0,1,0
3,3,2014-09-21,31-000,MIN,@,NOR,L 9-20,7,5,70,14.00,0,0,0,0.0,0,0
4,4,2014-09-28,31-007,MIN,,ATL,W 41-28,4,3,72,24.00,0,0,0,0.0,0,0
5,5,2014-10-02,31-011,MIN,@,GNB,L 10-42,6,2,31,15.50,0,0,0,0.0,0,0
6,6,2014-10-12,31-021,MIN,,DET,L 3-17,6,3,33,11.00,0,0,0,0.0,0,0
7,7,2014-10-19,31-028,MIN,@,BUF,L 16-17,7,6,77,12.83,0,0,0,0.0,0,0
8,8,2014-10-26,31-035,MIN,@,TAM,W 19-13,6,3,38,12.67,1,1,6,0.0,0,0
9,9,2014-11-02,31-042,MIN,,WAS,W 29-26,10,6,76,12.67,0,0,0,0.0,0,0
10,10,2014-11-16,31-056,MIN,@,CHI,L 13-21,2,1,4,4.00,0,0,0,0.0,0,0
11,11,2014-11-23,31-063,MIN,,GNB,L 21-24,6,4,38,9.50,1,1,6,0.0,1,0
12,12,2014-11-30,31-070,MIN,,CAR,W 31-13,6,5,45,9.00,1,1,6,0.0,0,0
13,13,2014-12-07,31-077,MIN,,NYJ,W 30-24,7,5,52,10.40,0,0,0,0.0,0,0
14,14,2014-12-14,31-084,MIN,@,DET,L 14-16,5,3,43,14.33,1,1,6,0.0,1,0
15,15,2014-12-21,31-091,MIN,@,MIA,L 35-37,3,3,56,18.67,1,1,6,0.0,0,0
16,16,2014-12-28,31-098,MIN,,CHI,W 13-9,5,3,45,15.00,0,0,0,0.0,0,0
,,16 Games,,,,,7-9-0,92,59,742,12.58,6,6,36,0.0,3,0
