
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,4,2013-09-29,31-135,MIN,,PIT,W 34-27,*,16,25,64.00,248,2,0,123.4,9.92,11.52,2,5,2.50,0,0,0,0.0,0,0
2,5,2013-10-13,31-149,MIN,,CAR,L 10-35,*,32,44,72.73,241,1,2,74.1,5.48,3.89,2,7,3.50,0,0,0,0.0,0,0
3,9,2013-11-07,31-174,MIN,,WAS,W 34-27,,4,6,66.67,47,0,0,90.3,7.83,7.83,1,-1,-1.00,0,0,0,0.0,0,0
4,10,2013-11-17,31-184,MIN,@,SEA,L 20-41,,5,13,38.46,78,1,1,52.7,6.00,4.08,0,0,,0,0,0,0.0,0,0
5,12,2013-12-01,31-198,MIN,,CHI,W 23-20,,20,33,60.61,243,1,1,80.7,7.36,6.61,1,0,0.00,0,0,0,0.0,1,0
6,13,2013-12-08,31-205,MIN,@,BAL,L 26-29,*,17,38,44.74,265,2,0,86.0,6.97,8.03,2,6,3.00,0,0,0,0.0,0,0
7,14,2013-12-15,31-212,MIN,,PHI,W 48-30,*,26,35,74.29,382,2,1,116.6,10.91,10.77,3,19,6.33,1,1,6,0.0,0,0
8,15,2013-12-22,31-219,MIN,@,CIN,L 14-42,*,13,27,48.15,114,1,3,32.6,4.22,-0.04,3,16,5.33,0,0,0,0.0,0,0
9,16,2013-12-29,31-226,MIN,,DET,W 14-13,*,20,33,60.61,189,1,1,73.9,5.73,4.97,4,5,1.25,0,0,0,0.0,0,0
,,9 Games,,,,,5-4-0,,153,254,60.24,1807,11,9,81.6,7.11,6.39,18,57,3.17,1,1,6,0.0,1,0
