
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2013-09-08,25-238,TAM,@,NYJ,L 17-18,*,15,31,48.39,210,1,1,67.9,6.77,5.97,1,0,0.00,0
2,2,2013-09-15,25-245,TAM,,NOR,L 14-16,*,9,22,40.91,125,1,1,56.1,5.68,4.55,3,16,5.33,0
3,3,2013-09-22,25-252,TAM,@,NWE,L 3-23,*,19,41,46.34,236,0,1,54.5,5.76,4.66,1,4,4.00,0
4,6,2013-10-21,25-281,MIN,@,NYG,L 7-23,*,20,53,37.74,190,0,1,40.6,3.58,2.74,0,0,,0
,,4 Games,,,,,0-4-0,,63,147,42.86,761,2,4,52.6,5.18,4.22,5,20,4.00,0
