
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,24-308,DAL,,NYG,W 36-31,8,4,22,5.50,0,0,0,,0,0,0,0.0,0,0
2,2,2013-09-15,24-315,DAL,@,KAN,L 16-17,13,9,141,15.67,1,0,0,,0,1,6,0.0,0,0
3,3,2013-09-22,24-322,DAL,,STL,W 31-7,6,4,38,9.50,1,0,0,,0,1,6,0.0,0,0
4,4,2013-09-29,24-329,DAL,@,SDG,L 21-30,9,6,81,13.50,2,0,0,,0,2,12,0.0,0,0
5,5,2013-10-06,24-336,DAL,,DEN,L 48-51,10,6,141,23.50,2,0,0,,0,2,12,0.0,0,0
6,6,2013-10-13,24-343,DAL,,WAS,W 31-16,8,5,36,7.20,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-20,24-350,DAL,@,PHI,W 17-3,16,8,110,13.75,0,0,0,,0,0,0,0.0,0,0
8,8,2013-10-27,24-357,DAL,@,DET,L 30-31,6,3,72,24.00,2,1,1,1.00,0,2,12,0.0,0,0
9,9,2013-11-03,24-364,DAL,,MIN,W 27-23,11,6,64,10.67,0,0,0,,0,0,0,0.0,0,0
10,10,2013-11-10,25-006,DAL,@,NOR,L 17-49,2,1,44,44.00,0,0,0,,0,0,0,0.0,0,0
11,11,2013-11-24,25-020,DAL,@,NYG,W 24-21,16,9,86,9.56,0,0,0,,0,0,0,0.0,1,0
12,12,2013-11-28,25-024,DAL,,OAK,W 31-24,9,7,61,8.71,1,0,0,,0,1,6,0.0,0,0
13,13,2013-12-09,25-035,DAL,@,CHI,L 28-45,4,2,12,6.00,1,0,0,,0,1,6,0.0,0,0
14,14,2013-12-15,25-041,DAL,,GNB,L 36-37,17,11,153,13.91,1,0,0,,0,1,6,0.0,0,0
15,15,2013-12-22,25-048,DAL,@,WAS,W 24-23,11,4,73,18.25,1,0,0,,0,1,6,0.0,0,1
16,16,2013-12-29,25-055,DAL,,PHI,L 22-24,13,8,99,12.38,1,0,0,,0,1,6,0.0,0,0
,,16 Games,,,,,8-8-0,159,93,1233,13.26,13,1,1,1.00,0,13,78,0.0,1,1
