
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,3,2011-09-26,26-129,DAL,,WAS,W 18-16,5,3,49,16.33,0,0,0,0.0,0,0
2,4,2011-10-02,26-135,DAL,,DET,L 30-34,10,7,116,16.57,0,0,0,0.0,0,0
3,5,2011-10-16,26-149,DAL,@,NWE,L 16-20,2,2,43,21.50,0,0,0,0.0,0,0
4,6,2011-10-23,26-156,DAL,,STL,W 34-7,3,2,25,12.50,0,0,0,0.0,0,0
5,7,2011-10-30,26-163,DAL,@,PHI,L 7-34,8,5,103,20.60,1,1,6,0.0,0,0
6,8,2011-11-06,26-170,DAL,,SEA,W 23-13,5,5,32,6.40,1,1,6,0.0,0,0
7,9,2011-11-13,26-177,DAL,,BUF,W 44-7,3,3,73,24.33,2,2,12,0.0,0,0
8,10,2011-11-20,26-184,DAL,@,WAS,W 27-24,11,4,34,8.50,1,1,6,0.0,0,0
9,11,2011-11-24,26-188,DAL,,MIA,W 20-19,12,7,79,11.29,2,2,12,0.0,1,0
10,12,2011-12-04,26-198,DAL,@,ARI,L 13-19,6,4,72,18.00,0,0,0,0.0,0,0
11,13,2011-12-11,26-205,DAL,,NYG,L 34-37,5,4,137,34.25,1,1,6,0.0,1,0
12,14,2011-12-17,26-211,DAL,@,TAM,W 31-15,3,3,29,9.67,1,1,6,0.0,0,0
13,15,2011-12-24,26-218,DAL,,PHI,L 7-20,2,1,5,5.00,0,0,0,0.0,0,0
14,16,2012-01-01,26-226,DAL,@,NYG,L 14-31,5,4,61,15.25,2,2,12,0.0,0,0
,,14 Games,,,,,7-7-0,80,54,858,15.89,11,11,66,0.0,2,0
