
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,1,2014-09-07,34-139,DAL,,SFO,L 17-28,*,23,37,62.16,281,1,3,60.8,7.59,4.49,0,0,,0,0.0,0,0
2,2,2014-09-14,34-146,DAL,@,TEN,W 26-10,*,19,29,65.52,176,1,0,93.5,6.07,6.76,0,0,,0,0.0,0,0
3,3,2014-09-21,34-153,DAL,@,STL,W 34-31,*,18,23,78.26,217,2,1,116.8,9.43,9.22,3,14,4.67,0,0.0,0,0
4,4,2014-09-28,34-160,DAL,,NOR,W 38-17,*,22,29,75.86,262,3,0,137.4,9.03,11.10,6,20,3.33,0,0.0,0,0
5,5,2014-10-05,34-167,DAL,,HOU,W 20-17,*,28,41,68.29,324,2,1,98.0,7.90,7.78,0,0,,0,0.0,0,0
6,6,2014-10-12,34-174,DAL,@,SEA,W 30-23,*,21,32,65.63,250,2,0,110.2,7.81,9.06,2,-1,-0.50,0,0.0,1,0
7,7,2014-10-19,34-181,DAL,,NYG,W 31-21,*,17,23,73.91,279,3,1,135.7,12.13,12.78,2,5,2.50,0,0.0,0,0
8,8,2014-10-27,34-189,DAL,,WAS,L 17-20,*,17,28,60.71,209,1,0,95.7,7.46,8.18,1,1,1.00,0,0.0,0,0
9,10,2014-11-09,34-202,DAL,@,JAX,W 31-17,*,20,27,74.07,246,3,0,138.8,9.11,11.33,0,0,,0,0.0,0,0
10,11,2014-11-23,34-216,DAL,@,NYG,W 31-28,*,18,26,69.23,275,4,0,143.4,10.58,13.65,1,-2,-2.00,0,0.0,0,0
11,12,2014-11-27,34-220,DAL,,PHI,L 10-33,*,18,29,62.07,199,0,2,53.7,6.86,3.76,1,-1,-1.00,0,0.0,0,0
12,13,2014-12-04,34-227,DAL,@,CHI,W 41-28,*,21,26,80.77,205,3,0,138.0,7.88,10.19,2,-2,-1.00,0,0.0,0,0
13,14,2014-12-14,34-237,DAL,@,PHI,W 38-27,*,22,31,70.97,265,3,0,129.1,8.55,10.48,4,-1,-0.25,0,0.0,0,0
14,15,2014-12-21,34-244,DAL,,IND,W 42-7,*,18,20,90.00,218,4,0,151.7,10.90,14.90,3,28,9.33,0,0.0,0,0
15,16,2014-12-28,34-251,DAL,@,WAS,W 44-17,*,22,34,64.71,299,2,1,100.0,8.79,8.65,1,0,0.00,0,0.0,0,0
,,15 Games,,,,,12-3-0,,304,435,69.89,3705,34,9,113.2,8.52,9.15,26,61,2.35,0,0.0,1,0
