
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,31-125,DAL,,NYG,W 36-31,9,8,70,8.75,2,2,12,0.0,0,0
2,2,2013-09-15,31-132,DAL,@,KAN,L 16-17,8,3,12,4.00,0,0,0,0.0,0,0
3,3,2013-09-22,31-139,DAL,,STL,W 31-7,6,5,67,13.40,0,0,0,0.0,0,0
4,4,2013-09-29,31-146,DAL,@,SDG,L 21-30,10,5,43,8.60,0,0,0,0.0,0,0
5,5,2013-10-06,31-153,DAL,,DEN,L 48-51,10,7,121,17.29,1,1,6,0.0,1,0
6,6,2013-10-13,31-160,DAL,,WAS,W 31-16,5,3,27,9.00,0,0,0,0.0,0,0
7,7,2013-10-20,31-167,DAL,@,PHI,W 17-3,6,4,48,12.00,0,0,0,0.0,0,0
8,8,2013-10-27,31-174,DAL,@,DET,L 30-31,2,2,15,7.50,0,0,0,0.0,0,0
9,9,2013-11-03,31-181,DAL,,MIN,W 27-23,10,8,102,12.75,1,1,6,0.0,0,0
10,10,2013-11-10,31-188,DAL,@,NOR,L 17-49,6,2,27,13.50,0,0,0,0.0,0,0
11,11,2013-11-24,31-202,DAL,@,NYG,W 24-21,7,4,37,9.25,2,2,12,0.0,0,0
12,12,2013-11-28,31-206,DAL,,OAK,W 31-24,3,3,53,17.67,0,0,0,0.0,0,0
13,13,2013-12-09,31-217,DAL,@,CHI,L 28-45,3,1,10,10.00,1,1,6,0.0,0,0
14,14,2013-12-15,31-223,DAL,,GNB,L 36-37,8,4,71,17.75,1,1,6,0.0,0,0
15,15,2013-12-22,31-230,DAL,@,WAS,W 24-23,2,2,13,6.50,0,0,0,0.0,0,0
16,16,2013-12-29,31-237,DAL,,PHI,L 22-24,16,12,135,11.25,0,0,0,0.0,1,0
,,16 Games,,,,,8-8-0,111,73,851,11.66,8,8,48,0.0,2,0
