
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,26-207,DAL,,SFO,L 17-28,22,118,5.36,1,4,3,25,8.33,0,1,6,0.0,0,0
2,2,2014-09-14,26-214,DAL,@,TEN,W 26-10,29,167,5.76,1,2,1,6,6.00,0,1,6,0.0,1,0
3,3,2014-09-21,26-221,DAL,@,STL,W 34-31,24,100,4.17,1,4,4,31,7.75,0,1,6,0.0,0,0
4,4,2014-09-28,26-228,DAL,,NOR,W 38-17,24,149,6.21,2,1,1,6,6.00,0,2,12,0.0,0,0
5,5,2014-10-05,26-235,DAL,,HOU,W 20-17,31,136,4.39,0,8,6,56,9.33,0,0,0,0.0,0,0
6,6,2014-10-12,26-242,DAL,@,SEA,W 30-23,28,115,4.11,1,6,6,31,5.17,0,1,6,0.0,0,0
7,7,2014-10-19,26-249,DAL,,NYG,W 31-21,28,128,4.57,1,1,1,4,4.00,0,1,6,0.0,1,0
8,8,2014-10-27,26-257,DAL,,WAS,L 17-20,19,141,7.42,0,4,4,80,20.00,0,0,0,0.0,0,0
9,9,2014-11-02,26-263,DAL,,ARI,L 17-28,19,79,4.16,0,4,4,11,2.75,0,0,0,0.0,0,0
10,10,2014-11-09,26-270,DAL,@,JAX,W 31-17,19,100,5.26,0,7,6,31,5.17,0,0,0,0.0,0,0
11,11,2014-11-23,26-284,DAL,@,NYG,W 31-28,24,121,5.04,0,3,2,22,11.00,0,0,0,0.0,0,0
12,12,2014-11-27,26-288,DAL,,PHI,L 10-33,20,73,3.65,1,6,6,40,6.67,0,1,6,0.0,0,0
13,13,2014-12-04,26-295,DAL,@,CHI,W 41-28,32,179,5.59,1,10,9,49,5.44,0,1,6,0.0,0,0
14,14,2014-12-14,26-305,DAL,@,PHI,W 38-27,31,81,2.61,2,1,1,3,3.00,0,2,12,0.0,0,0
15,15,2014-12-21,26-312,DAL,,IND,W 42-7,22,58,2.64,1,0,0,0,,0,1,6,0.0,0,0
16,16,2014-12-28,26-319,DAL,@,WAS,W 44-17,20,100,5.00,1,3,3,21,7.00,0,1,6,0.0,0,0
,,16 Games,,,,,12-4-0,392,1845,4.71,13,64,57,416,7.30,0,13,78,0.0,2,0
