
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-05,28-067,DAL,@,NYG,W 24-17,4,4,73,18.25,1,1,6
2,2,2012-09-16,28-078,DAL,@,SEA,L 7-27,10,5,63,12.60,1,1,6
3,3,2012-09-23,28-085,DAL,,TAM,W 16-10,9,5,107,21.40,0,0,0
4,4,2012-10-01,28-093,DAL,,CHI,L 18-34,6,4,57,14.25,1,1,6
5,5,2012-10-14,28-106,DAL,@,BAL,L 29-31,5,2,31,15.50,0,0,0
6,6,2012-10-21,28-113,DAL,@,CAR,W 19-14,9,5,97,19.40,1,1,6
7,7,2012-10-28,28-120,DAL,,NYG,L 24-29,16,9,133,14.78,0,0,0
8,8,2012-11-04,28-127,DAL,@,ATL,L 13-19,9,7,76,10.86,0,0,0
9,9,2012-11-11,28-134,DAL,@,PHI,W 38-23,4,2,32,16.00,0,0,0
10,10,2012-11-18,28-141,DAL,,CLE,W 23-20,12,6,58,9.67,0,0,0
11,11,2012-11-22,28-145,DAL,,WAS,L 31-38,2,0,0,,0,0,0
12,12,2012-12-02,28-155,DAL,,PHI,W 38-33,2,2,46,23.00,1,1,6
13,13,2012-12-09,28-162,DAL,@,CIN,W 20-19,10,4,46,11.50,0,0,0
14,14,2012-12-16,28-169,DAL,,PIT,W 27-24,10,7,79,11.29,0,0,0
15,15,2012-12-23,28-176,DAL,,NOR,L 31-34,8,4,45,11.25,1,1,6
16,16,2012-12-30,28-183,DAL,@,WAS,L 18-28,3,0,0,,0,0,0
,,16 Games,,,,,8-8-0,119,66,943,14.29,6,6,36
