
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts
1,1,2012-09-05,23-306,DAL,@,NYG,W 24-17,5,4,85,21.25,0,0,0,,0,2,0,0.00,0,,0,0
2,2,2012-09-16,23-317,DAL,@,SEA,L 7-27,7,3,17,5.67,0,0,0,,0,2,2,1.00,0,,0,0
3,3,2012-09-23,23-324,DAL,,TAM,W 16-10,8,6,62,10.33,0,0,0,,0,3,43,14.33,0,,0,0
4,4,2012-10-01,23-332,DAL,,CHI,L 18-34,13,8,105,13.13,0,0,0,,0,0,0,,0,1,0,2
5,5,2012-10-14,23-345,DAL,@,BAL,L 29-31,15,13,95,7.31,2,0,0,,0,1,10,10.00,0,,2,12
6,6,2012-10-21,23-352,DAL,@,CAR,W 19-14,3,2,14,7.00,0,0,0,,0,3,17,5.67,0,,0,0
7,7,2012-10-28,23-359,DAL,,NYG,L 24-29,11,5,110,22.00,0,0,0,,0,1,-6,-6.00,0,,0,0
8,8,2012-11-04,24-000,DAL,@,ATL,L 13-19,4,1,15,15.00,0,0,0,,0,0,0,,0,,0,0
9,9,2012-11-11,24-007,DAL,@,PHI,W 38-23,5,3,87,29.00,1,0,0,,0,0,0,,0,,1,6
10,10,2012-11-18,24-014,DAL,,CLE,W 23-20,15,12,145,12.08,1,0,0,,0,0,0,,0,,1,6
11,11,2012-11-22,24-018,DAL,,WAS,L 31-38,11,8,145,18.13,2,1,6,6.00,0,0,0,,0,,2,12
12,12,2012-12-02,24-028,DAL,,PHI,W 38-33,6,6,98,16.33,2,0,0,,0,0,0,,0,,2,12
13,13,2012-12-09,24-035,DAL,@,CIN,W 20-19,6,4,50,12.50,1,1,-11,-11.00,0,0,0,,0,,1,6
14,14,2012-12-16,24-042,DAL,,PIT,W 27-24,9,4,59,14.75,1,0,0,,0,0,0,,0,,1,6
15,15,2012-12-23,24-049,DAL,,NOR,L 31-34,12,9,224,24.89,2,0,0,,0,0,0,,0,,2,12
16,16,2012-12-30,24-056,DAL,@,WAS,L 18-28,8,4,71,17.75,0,0,0,,0,0,0,,0,,0,0
,,16 Games,,,,,8-8-0,138,92,1382,15.02,12,2,-5,-2.50,0,12,66,5.50,0,1,12,74
