
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,8,2014-10-27,31-013,DAL,,WAS,L 17-20,,4,6,66.67,69,1,0,145.1,11.50,14.83,1,0,0.00,0
2,9,2014-11-02,31-019,DAL,,ARI,L 17-28,*,18,33,54.55,183,1,2,55.5,5.55,3.42,2,2,1.00,0
3,10,2014-11-09,31-026,DAL,@,JAX,W 31-17,,1,1,100.00,8,0,0,100.0,8.00,8.00,3,-3,-1.00,0
4,15,2014-12-21,31-068,DAL,,IND,W 42-7,,1,1,100.00,43,1,0,158.3,43.00,63.00,0,0,,0
5,16,2014-12-28,31-075,DAL,@,WAS,W 44-17,,,,,,,,,,,,,,
,,5 Games,,,,,3-2-0,,24,41,58.54,303,3,2,85.7,7.39,6.66,6,-1,-0.17,0
