
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
18,Kyle Orton,32,QB,12,12,7-5-0,287,447,64.2,3018,18,4.0,10,2.2,84,6.8,6.6,10.5,251.5,87.8,42.56,33,198,5.88,5.69,6.9,2,2
3,EJ Manuel,24,,5,4,2-2-0,76,131,58.0,838,5,3.8,3,2.3,80,6.4,6.1,11.0,167.6,80.3,19.77,6,44,5.80,5.54,4.4,0,1
22,Fred Jackson,33,RB,14,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.78,0,0,0.00,0.00,0.0,,
,Team Total,25.0,,16,,9-7-0,363,579,62.7,3856,23,4.0,13,2.2,84,6.7,6.4,10.6,241.0,86.0,,39,242,5.85,5.65,6.3,2,3
,Opp Total,,,16,,,337,559,60.3,3600,16,2.9,19,3.4,,6.4,5.48,10.7,225.0,74.5,,54,308,5.4,4.5,8.8,,
