
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,27-048,BUF,@,NYJ,L 28-48,6,4,38,9.50,1,1,6
2,2,2012-09-16,27-055,BUF,,KAN,W 35-17,5,2,53,26.50,1,1,6
3,3,2012-09-23,27-062,BUF,@,CLE,W 24-14,4,2,22,11.00,0,0,0
4,4,2012-09-30,27-069,BUF,,NWE,L 28-52,8,4,62,15.50,2,2,12
5,5,2012-10-07,27-076,BUF,@,SFO,L 3-45,6,4,40,10.00,0,0,0
6,6,2012-10-14,27-083,BUF,@,ARI,W 19-16,3,1,4,4.00,0,0,0
7,7,2012-10-21,27-090,BUF,,TEN,L 34-35,4,2,15,7.50,0,0,0
8,8,2012-11-04,27-104,BUF,@,HOU,L 9-21,5,3,51,17.00,0,0,0
9,9,2012-11-11,27-111,BUF,@,NWE,L 31-37,8,5,65,13.00,1,1,6
10,10,2012-11-15,27-115,BUF,,MIA,W 19-14,4,2,30,15.00,0,0,0
11,11,2012-11-25,27-125,BUF,@,IND,L 13-20,3,2,26,13.00,0,0,0
12,12,2012-12-02,27-132,BUF,,JAX,W 34-18,4,1,11,11.00,1,1,6
13,13,2012-12-09,27-139,BUF,,STL,L 12-15,5,5,71,14.20,0,0,0
14,14,2012-12-16,27-146,BUF,,SEA,L 17-50,8,5,58,11.60,0,0,0
15,15,2012-12-23,27-153,BUF,@,MIA,L 10-24,1,1,25,25.00,0,0,0
,,15 Games,,,,,5-10-0,74,43,571,13.28,6,6,36
