
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
14,Ryan Fitzpatrick,29,QB,16,16,6-10-0,353,569,62.0,3832,24,4.2,23,4.0,60,6.7,5.8,10.9,239.5,79.1,50.52,22,148,6.23,5.29,3.7,2,2
4,Tyler Thigpen,27,,3,0,,3,8,37.5,25,0,0.0,1,12.5,13,3.1,-2.5,8.3,8.3,6.8,6.24,0,0,3.13,-2.50,0.0,,
16,Brad Smith,28,wr,15,5,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,11.67,1,6,-3.00,-25.50,50.0,,
,Team Total,26.3,,16,,6-10-0,356,578,61.6,3857,24,4.2,25,4.3,60,6.7,5.6,10.8,241.1,77.0,,23,154,6.16,5.09,3.8,2,2
,Opp Total,,,16,,,321,507,63.3,3924,30,5.9,20,3.9,,7.7,7.15,12.2,245.3,90.4,,29,210,6.9,6.4,5.4,,
