
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,24-287,BUF,@,KAN,W 41-7,6,4,66,16.50,1,1,6,0.0,0,0
2,2,2011-09-18,24-294,BUF,,OAK,W 38-35,14,8,96,12.00,1,1,6,0.0,1,0
3,3,2011-09-25,24-301,BUF,,NWE,W 34-31,10,8,94,11.75,1,1,6,0.0,1,0
4,4,2011-10-02,24-308,BUF,@,CIN,L 20-23,6,4,58,14.50,0,0,0,0.0,0,0
5,5,2011-10-09,24-315,BUF,,PHI,W 31-24,5,4,29,7.25,0,0,0,0.0,0,0
6,6,2011-10-16,24-322,BUF,@,NYG,L 24-27,10,5,39,7.80,1,1,6,0.0,1,0
7,7,2011-10-30,24-336,BUF,,WAS,W 23-0,9,6,57,9.50,0,0,0,0.0,0,0
8,8,2011-11-06,24-343,BUF,,NYJ,L 11-27,6,3,84,28.00,0,0,0,0.0,0,0
9,9,2011-11-13,24-350,BUF,@,DAL,L 7-44,5,2,8,4.00,0,0,0,0.0,0,0
10,10,2011-11-20,24-357,BUF,@,MIA,L 8-35,8,2,16,8.00,0,0,0,0.0,0,0
11,11,2011-11-27,24-364,BUF,@,NYJ,L 24-28,13,8,75,9.38,1,1,6,0.0,0,0
12,12,2011-12-04,25-006,BUF,,TEN,L 17-23,8,5,52,10.40,1,1,6,0.0,0,0
13,13,2011-12-11,25-013,BUF,@,SDG,L 10-37,10,4,116,29.00,0,0,0,0.0,0,0
14,14,2011-12-18,25-020,BUF,,MIA,L 23-30,10,5,82,16.40,0,0,0,0.0,0,0
15,15,2011-12-24,25-026,BUF,,DEN,W 40-14,7,4,92,23.00,0,0,0,0.0,0,0
16,16,2012-01-01,25-034,BUF,@,NWE,L 21-49,7,4,40,10.00,1,1,6,0.0,0,0
,,16 Games,,,,,6-10-0,134,76,1004,13.21,7,7,42,0.0,3,0
