
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,21-085,BUF,@,CHI,W 23-20,4,3,31,10.33,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,21-092,BUF,,MIA,W 29-10,11,8,117,14.63,1,0,0,,0,1,6,0.0,0,0
3,3,2014-09-21,21-099,BUF,,SDG,L 10-22,8,2,19,9.50,0,0,0,,0,0,0,0.0,0,0
4,4,2014-09-28,21-106,BUF,@,HOU,L 17-23,9,4,30,7.50,1,0,0,,0,1,6,0.0,0,0
5,5,2014-10-05,21-113,BUF,@,DET,W 17-14,12,7,87,12.43,0,0,0,,0,0,0,0.0,0,0
6,6,2014-10-12,21-120,BUF,,NWE,L 22-37,3,2,27,13.50,0,0,0,,0,0,0,0.0,0,0
7,7,2014-10-19,21-127,BUF,,MIN,W 17-16,14,9,122,13.56,2,0,0,,0,2,12,0.0,0,0
8,8,2014-10-26,21-134,BUF,@,NYJ,W 43-23,6,3,157,52.33,1,0,0,,0,1,6,0.0,0,0
9,9,2014-11-09,21-148,BUF,,KAN,L 13-17,10,4,27,6.75,0,0,0,,0,0,0,0.0,0,0
10,10,2014-11-13,21-152,BUF,@,MIA,L 9-22,7,3,32,10.67,0,1,3,3.00,0,0,0,0.0,0,0
11,11,2014-11-24,21-163,BUF,,NYJ,W 38-3,5,3,35,11.67,0,0,0,,0,0,0,0.0,0,0
12,12,2014-11-30,21-169,BUF,,CLE,W 26-10,9,3,11,3.67,0,0,0,,0,0,0,0.0,1,0
13,13,2014-12-07,21-176,BUF,@,DEN,L 17-24,12,7,127,18.14,0,0,0,,0,0,0,0.0,1,0
14,14,2014-12-14,21-183,BUF,,GNB,W 21-13,6,1,28,28.00,0,0,0,,0,0,0,0.0,1,0
15,15,2014-12-21,21-190,BUF,@,OAK,L 24-26,7,3,75,25.00,1,0,0,,0,1,6,0.0,0,0
16,16,2014-12-28,21-197,BUF,@,NWE,W 17-9,5,3,57,19.00,0,1,5,5.00,0,0,0,0.0,0,0
,,16 Games,,,,,9-7-0,128,65,982,15.11,6,2,8,4.00,0,6,36,0.0,3,0
