
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,25-286,BUF,@,NYJ,L 28-48,10,4,55,13.75,1,1,6
2,2,2012-09-16,25-293,BUF,,KAN,W 35-17,5,2,56,28.00,1,1,6
3,3,2012-09-23,25-300,BUF,@,CLE,W 24-14,11,7,61,8.71,1,1,6
4,4,2012-09-30,25-307,BUF,,NWE,L 28-52,10,2,23,11.50,0,0,0
5,5,2012-10-07,25-314,BUF,@,SFO,L 3-45,10,6,39,6.50,0,0,0
6,6,2012-10-14,25-321,BUF,@,ARI,W 19-16,11,6,82,13.67,0,0,0
7,7,2012-10-21,25-328,BUF,,TEN,L 34-35,7,5,71,14.20,1,1,6
8,8,2012-11-04,25-342,BUF,@,HOU,L 9-21,7,3,29,9.67,0,0,0
9,9,2012-11-11,25-349,BUF,@,NWE,L 31-37,9,6,86,14.33,0,0,0
10,10,2012-11-15,25-353,BUF,,MIA,W 19-14,9,6,79,13.17,0,0,0
11,11,2012-11-25,25-363,BUF,@,IND,L 13-20,15,6,106,17.67,0,0,0
12,12,2012-12-02,26-004,BUF,,JAX,W 34-18,5,2,18,9.00,1,1,6
13,13,2012-12-09,26-011,BUF,,STL,L 12-15,8,6,71,11.83,0,0,0
14,14,2012-12-16,26-018,BUF,,SEA,L 17-50,12,8,115,14.38,1,1,6
15,15,2012-12-23,26-025,BUF,@,MIA,L 10-24,10,4,44,11.00,0,0,0
16,16,2012-12-30,26-032,BUF,,NYJ,W 28-9,9,6,111,18.50,0,0,0
,,16 Games,,,,,6-10-0,148,79,1046,13.24,6,6,36
