
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,32-200,BUF,,NWE,L 21-23,13,67,5.15,0,5,4,41,10.25,0,0,0,0.0,0,0
2,2,2013-09-15,32-207,BUF,,CAR,W 24-23,12,30,2.50,1,6,5,35,7.00,0,1,6,0.0,0,0
3,3,2013-09-22,32-214,BUF,@,NYJ,L 20-27,7,72,10.29,0,5,4,37,9.25,0,0,0,0.0,0,0
4,4,2013-09-29,32-221,BUF,,BAL,W 23-20,16,87,5.44,1,0,0,0,,0,1,6,0.0,0,0
5,5,2013-10-03,32-225,BUF,@,CLE,L 24-37,17,53,3.12,2,6,4,40,10.00,0,2,12,0.0,0,0
6,6,2013-10-13,32-235,BUF,,CIN,L 24-27,10,35,3.50,0,5,4,13,3.25,0,0,0,0.0,0,0
7,7,2013-10-20,32-242,BUF,@,MIA,W 23-21,11,36,3.27,1,5,4,49,12.25,0,1,6,0.0,0,0
8,8,2013-10-27,32-249,BUF,@,NOR,L 17-35,15,45,3.00,1,4,2,8,4.00,0,1,6,0.0,1,0
9,9,2013-11-03,32-256,BUF,,KAN,L 13-23,16,77,4.81,0,2,1,22,22.00,0,0,0,0.0,0,0
10,10,2013-11-10,32-263,BUF,@,PIT,L 10-23,12,55,4.58,0,4,3,7,2.33,0,0,0,0.0,0,0
11,11,2013-11-17,32-270,BUF,,NYJ,W 37-14,12,34,2.83,0,2,2,5,2.50,0,0,0,0.0,0,0
12,12,2013-12-01,32-284,BUF,,ATL,L 31-34,11,42,3.82,1,4,4,36,9.00,1,2,12,0.0,0,0
13,13,2013-12-08,32-291,BUF,@,TAM,L 6-27,5,12,2.40,0,7,4,26,6.50,0,0,0,0.0,1,0
14,14,2013-12-15,32-298,BUF,@,JAX,W 27-20,17,80,4.71,0,2,1,8,8.00,0,0,0,0.0,0,0
15,15,2013-12-22,32-305,BUF,,MIA,W 19-0,18,105,5.83,1,2,2,7,3.50,0,1,6,0.0,0,0
16,16,2013-12-29,32-312,BUF,@,NWE,L 20-34,14,60,4.29,1,6,3,53,17.67,0,1,6,0.0,0,0
,,16 Games,,,,,6-10-0,206,890,4.32,9,65,47,387,8.23,1,10,60,0.0,2,0
