
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,26-150,IND,,OAK,W 21-17,0,0,,0,,0,0,,0,0,0,0.0,1,0
2,2,2013-09-15,26-157,IND,,MIA,L 20-24,7,30,4.29,0,0,0,0,,0,0,0,0.0,0,0
3,3,2013-09-22,26-164,IND,@,SFO,W 27-7,3,25,8.33,0,1,0,0,,0,0,0,0.0,0,0
4,4,2013-09-29,26-171,IND,@,JAX,W 37-3,3,65,21.67,0,2,2,11,5.50,0,0,0,0.0,0,0
5,5,2013-10-06,26-178,IND,,SEA,W 34-28,6,37,6.17,1,2,2,3,1.50,0,1,6,0.0,0,0
6,6,2013-10-14,26-186,IND,@,SDG,L 9-19,3,15,5.00,0,2,2,19,9.50,0,0,0,0.0,0,0
7,7,2013-10-20,26-192,IND,,DEN,W 39-33,11,23,2.09,0,3,3,42,14.00,0,0,0,0.0,1,0
8,8,2013-11-03,26-206,IND,@,HOU,W 27-24,6,49,8.17,0,2,0,0,,0,0,0,0.0,0,0
9,9,2013-11-10,26-213,IND,,STL,L 8-38,2,-1,-0.50,0,5,5,64,12.80,1,1,6,0.0,1,0
10,10,2013-11-14,26-217,IND,@,TEN,W 30-27,14,80,5.71,2,1,1,14,14.00,0,2,12,0.0,0,0
11,11,2013-11-24,26-227,IND,@,ARI,L 11-40,2,1,0.50,0,2,1,-2,-2.00,0,0,0,0.0,1,0
12,12,2013-12-01,26-234,IND,,TEN,W 22-14,14,54,3.86,1,3,2,10,5.00,0,1,6,0.0,0,0
13,13,2013-12-08,26-241,IND,@,CIN,L 28-42,4,11,2.75,0,6,4,18,4.50,0,0,0,0.0,0,0
14,14,2013-12-15,26-248,IND,,HOU,W 25-3,5,38,7.60,0,0,0,0,,0,0,0,0.0,0,0
15,15,2013-12-22,26-255,IND,@,KAN,W 23-7,10,79,7.90,1,3,2,31,15.50,1,2,12,0.0,0,0
16,16,2013-12-29,26-262,IND,,JAX,W 30-10,12,31,2.58,1,3,3,4,1.33,0,1,6,0.0,0,0
,,16 Games,,,,,11-5-0,102,537,5.26,6,35,27,214,7.93,2,8,48,0.0,4,0
