
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,25-352,IND,@,DEN,L 24-31,8,3,21,7.00,0,0,0,0.0,0,0
2,2,2014-09-15,25-360,IND,,PHI,L 27-30,1,1,13,13.00,0,0,0,0.0,0,0
3,3,2014-09-21,26-001,IND,@,JAX,W 44-17,7,4,49,12.25,1,1,6,0.0,0,0
4,4,2014-09-28,26-008,IND,,TEN,W 41-17,3,2,26,13.00,1,1,6,0.0,0,1
5,5,2014-10-05,26-015,IND,,BAL,W 20-13,2,1,30,30.00,0,0,0,0.0,0,0
6,6,2014-10-09,26-019,IND,@,HOU,W 33-28,4,2,11,5.50,1,1,6,0.0,0,0
7,7,2014-10-19,26-029,IND,,CIN,W 27-0,5,4,64,16.00,0,0,0,0.0,0,0
8,8,2014-10-26,26-036,IND,@,PIT,L 34-51,4,1,4,4.00,0,0,0,0.0,0,0
9,9,2014-11-03,26-044,IND,@,NYG,W 40-24,11,4,77,19.25,1,1,6,0.0,0,0
10,10,2014-11-16,26-057,IND,,NWE,L 20-42,7,7,144,20.57,0,0,0,0.0,1,0
11,11,2014-11-23,26-064,IND,,JAX,W 23-3,4,2,28,14.00,0,0,0,0.0,0,0
12,12,2014-11-30,26-071,IND,,WAS,W 49-27,7,4,127,31.75,2,2,12,0.0,0,0
13,13,2014-12-07,26-078,IND,@,CLE,W 25-24,10,5,56,11.20,0,0,0,0.0,1,0
14,14,2014-12-14,26-085,IND,,HOU,W 17-10,5,2,32,16.00,0,0,0,0.0,0,0
15,15,2014-12-21,26-092,IND,@,DAL,L 7-42,7,4,36,9.00,0,0,0,0.0,0,0
16,16,2014-12-28,26-099,IND,@,TEN,W 27-10,7,5,56,11.20,2,2,12,0.0,0,0
,,16 Games,,,,,11-5-0,92,51,774,15.18,8,8,48,0.0,2,1
