
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,24-195,IND,@,DEN,L 24-31,5,4,64,16.00,1,1,6,0.0,1,0
2,2,2014-09-15,24-203,IND,,PHI,L 27-30,1,0,0,,0,0,0,0.0,0,1
3,3,2014-09-21,24-209,IND,@,JAX,W 44-17,6,4,43,10.75,1,1,6,0.0,0,0
4,4,2014-09-28,24-216,IND,,TEN,W 41-17,3,3,38,12.67,1,1,6,0.0,0,0
5,5,2014-10-05,24-223,IND,,BAL,W 20-13,5,4,59,14.75,1,1,6,0.0,0,0
6,6,2014-10-09,24-227,IND,@,HOU,W 33-28,7,3,49,16.33,0,0,0,0.0,0,0
7,7,2014-10-19,24-237,IND,,CIN,W 27-0,6,3,52,17.33,1,1,6,0.0,1,0
8,8,2014-10-26,24-244,IND,@,PIT,L 34-51,2,1,21,21.00,1,1,6,0.0,0,0
9,9,2014-11-03,24-252,IND,@,NYG,W 40-24,5,4,48,12.00,1,1,6,0.0,0,0
10,10,2014-11-16,24-265,IND,,NWE,L 20-42,,,,,,,,,,
11,13,2014-12-07,24-286,IND,@,CLE,W 25-24,3,1,5,5.00,0,0,0,0.0,0,0
12,14,2014-12-14,24-293,IND,,HOU,W 17-10,4,2,16,8.00,1,1,6,0.0,0,0
13,15,2014-12-21,24-300,IND,@,DAL,L 7-42,3,0,0,,0,0,0,0.0,0,0
,,13 Games,,,,,8-5-0,50,29,395,13.62,8,8,48,0.0,2,1
