
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
7,Curtis Painter,26,QB,9,8,0-8-0,132,243,54.3,1541,6,2.5,9,3.7,87,6.3,5.2,11.7,171.2,66.6,27.21,16,104,5.55,4.45,6.2,,
6,Dan Orlovsky,28,qb,8,5,2-3-0,122,193,63.2,1201,6,3.1,4,2.1,40,6.2,5.9,9.8,150.1,82.4,48.16,14,84,5.40,5.11,6.8,1,1
5,Kerry Collins,39,,3,3,0-3-0,48,98,49.0,481,2,2.0,1,1.0,36,4.9,4.9,10.0,160.3,65.9,15.18,5,40,4.28,4.23,4.9,,
,Team Total,26.3,,16,,2-14-0,302,534,56.6,3223,14,2.6,14,2.6,87,6.0,5.4,10.7,201.4,72.2,,35,228,5.26,4.65,6.2,1,1
,Opp Total,,,16,,,351,493,71.2,3824,25,5.1,8,1.6,,7.8,8.04,10.9,239.0,103.9,,29,192,7.0,7.2,5.6,,
