
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,24-360,IND,@,DEN,L 24-31,*,35,53,66.04,370,2,2,83.1,6.98,6.04,5,19,3.80,1,1,6,0.0,0,0
2,2,2014-09-15,25-003,IND,,PHI,L 27-30,*,20,34,58.82,172,3,1,89.3,5.06,5.50,4,20,5.00,0,0,0,0.0,0,0
3,3,2014-09-21,25-009,IND,@,JAX,W 44-17,*,31,39,79.49,370,4,0,140.4,9.49,11.54,3,15,5.00,0,0,0,0.0,0,0
4,4,2014-09-28,25-016,IND,,TEN,W 41-17,*,29,41,70.73,393,4,1,123.3,9.59,10.44,1,-1,-1.00,0,0,0,0.0,0,1
5,5,2014-10-05,25-023,IND,,BAL,W 20-13,*,32,49,65.31,312,1,2,72.8,6.37,4.94,6,22,3.67,1,1,6,0.0,0,0
6,6,2014-10-09,25-027,IND,@,HOU,W 33-28,*,25,44,56.82,370,3,1,97.7,8.41,8.75,7,18,2.57,0,0,0,0.0,0,0
7,7,2014-10-19,25-037,IND,,CIN,W 27-0,*,27,42,64.29,344,2,0,105.7,8.19,9.14,4,5,1.25,0,0,0,0.0,0,0
8,8,2014-10-26,25-044,IND,@,PIT,L 34-51,*,26,45,57.78,400,3,2,91.0,8.89,8.22,3,26,8.67,0,0,0,0.0,0,0
9,9,2014-11-03,25-052,IND,@,NYG,W 40-24,*,25,46,54.35,354,4,0,108.4,7.70,9.43,2,5,2.50,0,0,0,0.0,0,0
10,10,2014-11-16,25-065,IND,,NWE,L 20-42,*,23,39,58.97,303,2,1,90.0,7.77,7.64,3,15,5.00,0,0,0,0.0,0,0
11,11,2014-11-23,25-072,IND,,JAX,W 23-3,*,21,32,65.63,253,1,0,100.1,7.91,8.53,8,49,6.13,0,0,0,0.0,0,0
12,12,2014-11-30,25-079,IND,,WAS,W 49-27,*,19,27,70.37,370,5,1,137.0,13.70,15.74,4,20,5.00,0,0,0,0.0,0,0
13,13,2014-12-07,25-086,IND,@,CLE,W 25-24,*,24,53,45.28,294,2,2,59.8,5.55,4.60,5,37,7.40,1,1,6,0.0,0,0
14,14,2014-12-14,25-093,IND,,HOU,W 17-10,*,18,34,52.94,187,2,1,76.5,5.50,5.35,8,18,2.25,0,0,0,0.0,0,0
15,15,2014-12-21,25-100,IND,@,DAL,L 7-42,*,15,22,68.18,109,0,2,41.7,4.95,0.86,0,0,,0,0,0,0.0,2,0
16,16,2014-12-28,25-107,IND,@,TEN,W 27-10,*,10,16,62.50,160,2,0,135.4,10.00,12.50,1,5,5.00,0,0,0,0.0,0,0
,,16 Games,,,,,11-5-0,,380,616,61.69,4761,40,16,96.5,7.73,7.86,64,273,4.27,3,3,18,0.0,2,1
