
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,32-298,IND,@,HOU,L 7-34,11,7,106,15.14,1,1,6,0.0,0,0
2,2,2011-09-18,32-305,IND,,CLE,L 19-27,8,4,66,16.50,0,0,0,0.0,0,0
3,3,2011-09-25,32-312,IND,,PIT,L 20-23,13,3,24,8.00,0,0,0,0.0,0,0
4,4,2011-10-03,32-320,IND,@,TAM,L 17-24,8,4,59,14.75,0,0,0,0.0,0,0
5,5,2011-10-09,32-326,IND,,KAN,L 24-28,7,4,77,19.25,0,0,0,0.0,0,0
6,6,2011-10-16,32-333,IND,@,CIN,L 17-27,6,5,58,11.60,0,0,0,0.0,0,0
7,7,2011-10-23,32-340,IND,@,NOR,L 7-62,4,3,36,12.00,0,0,0,0.0,0,0
8,8,2011-10-30,32-347,IND,@,TEN,L 10-27,14,5,61,12.20,0,0,0,0.0,0,0
9,9,2011-11-06,32-354,IND,,ATL,L 7-31,6,4,30,7.50,0,0,0,0.0,1,0
10,10,2011-11-13,32-361,IND,,JAX,L 3-17,6,3,13,4.33,0,0,0,0.0,1,0
11,11,2011-11-27,33-010,IND,,CAR,L 19-27,7,5,122,24.40,1,1,6,0.0,0,0
12,12,2011-12-04,33-017,IND,@,NWE,L 24-31,6,5,55,11.00,0,0,0,0.0,2,0
13,13,2011-12-11,33-024,IND,@,BAL,L 10-24,8,4,41,10.25,0,0,0,0.0,0,0
14,14,2011-12-18,33-031,IND,,TEN,W 27-13,3,3,33,11.00,1,1,6,0.0,0,0
15,15,2011-12-22,33-035,IND,,HOU,W 19-16,14,8,106,13.25,1,1,6,0.0,0,0
16,16,2012-01-01,33-045,IND,@,JAX,L 13-19,11,8,73,9.13,0,0,0,0.0,0,0
,,16 Games,,,,,2-14-0,132,75,960,12.80,4,4,24,0.0,4,0
