
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2011-09-11,38-255,IND,@,HOU,L 7-34,*,16,31,51.61,197,1,0,82.3,6.35,7.00,1,0,0.00,0
2,2,2011-09-18,38-262,IND,,CLE,L 19-27,*,19,38,50.00,191,1,1,62.5,5.03,4.37,1,-1,-1.00,0
3,3,2011-09-25,38-269,IND,,PIT,L 20-23,*,13,29,44.83,93,0,0,52.8,3.21,3.21,0,0,,0
,,3 Games,,,,,0-3-0,,48,98,48.98,481,2,1,65.9,4.91,4.86,2,-1,-0.50,0
