
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-135,CHI,,ATL,W 30-12,*,22,32,68.75,312,2,1,107.8,9.75,9.59,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,28-142,CHI,@,NOR,L 13-30,*,19,45,42.22,244,1,0,67.3,5.42,5.87,1,12,12.00,0,0,0,0.0,0,0
3,3,2011-09-25,28-149,CHI,,GNB,L 17-27,*,21,37,56.76,302,2,2,78.9,8.16,6.81,3,11,3.67,0,0,0,0.0,0,0
4,4,2011-10-02,28-156,CHI,,CAR,W 34-29,*,9,17,52.94,102,0,1,46.7,6.00,3.35,1,2,2.00,0,0,0,0.0,0,0
5,5,2011-10-10,28-164,CHI,@,DET,L 13-24,*,28,38,73.68,249,1,0,99.6,6.55,7.08,2,3,1.50,0,0,0,0.0,0,0
6,6,2011-10-16,28-170,CHI,,MIN,W 39-10,*,21,31,67.74,267,2,0,115.9,8.61,9.90,0,0,,0,0,0,0.0,1,0
7,7,2011-10-23,28-177,CHI,@,TAM,W 24-18,*,17,32,53.13,226,1,2,60.2,7.06,4.88,1,-1,-1.00,0,0,0,0.0,0,0
8,8,2011-11-07,28-192,CHI,@,PHI,W 30-24,*,18,32,56.25,208,2,0,96.9,6.50,7.75,1,0,0.00,0,0,0,0.0,0,0
9,9,2011-11-13,28-198,CHI,,DET,W 37-13,*,9,19,47.37,123,0,0,68.5,6.47,6.47,4,18,4.50,0,0,0,0.0,0,0
10,10,2011-11-20,28-205,CHI,,SDG,W 31-20,*,18,31,58.06,286,2,1,97.0,9.23,9.06,5,10,2.00,1,1,6,0.0,0,0
,,10 Games,,,,,7-3-0,,182,314,57.96,2319,13,7,85.7,7.39,7.21,18,55,3.06,1,1,6,0.0,1,0
