
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts
1,14,2011-12-18,32-167,CHI,,SEA,L 14-38,,1,2,50.00,12,0,1,29.2,6.00,-16.50,0,0,,0,,0,0
2,15,2011-12-25,32-174,CHI,@,GNB,L 21-35,*,19,28,67.86,242,1,2,76.8,8.64,6.14,8,38,4.75,0,1,0,2
3,16,2012-01-01,32-181,CHI,@,MIN,W 17-13,*,15,25,60.00,160,1,1,75.4,6.40,5.40,4,30,7.50,0,,0,0
,,3 Games,,,,,1-2-0,,35,55,63.64,414,2,4,68.3,7.53,4.98,12,68,5.67,0,1,0,2
