
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,4,2014-09-28,27-007,CHI,,GNB,L 17-38,,1,1,100.00,9,0,0,104.2,9.00,9.00,0,0,,0
2,8,2014-10-26,27-035,CHI,@,NWE,L 23-51,,1,5,20.00,22,0,0,45.4,4.40,4.40,0,0,,0
3,9,2014-11-09,27-049,CHI,@,GNB,L 14-55,,1,3,33.33,11,0,0,45.1,3.67,3.67,0,0,,0
4,15,2014-12-21,27-091,CHI,,DET,L 14-20,*,23,39,58.97,181,2,1,77.0,4.64,4.51,3,9,3.00,0
,,4 Games,,,,,0-4-0,,26,48,54.17,223,2,1,71.8,4.65,4.54,3,9,3.00,0
