
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,25-335,CHI,,ATL,W 30-12,5,2,23,11.50,0,0,0,0.0,0,0
2,2,2011-09-18,25-342,CHI,@,NOR,L 13-30,1,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,25-349,CHI,,GNB,L 17-27,2,1,32,32.00,1,1,6,0.0,0,0
4,4,2011-10-02,25-356,CHI,,CAR,W 34-29,1,0,0,,0,0,0,0.0,0,0
5,5,2011-10-10,25-364,CHI,@,DET,L 13-24,3,3,25,8.33,1,1,6,0.0,0,0
6,6,2011-10-16,26-005,CHI,,MIN,W 39-10,3,2,27,13.50,0,0,0,0.0,0,0
7,7,2011-10-23,26-012,CHI,@,TAM,W 24-18,2,0,0,,0,0,0,0.0,0,0
8,8,2011-11-07,26-027,CHI,@,PHI,W 30-24,3,1,-1,-1.00,0,0,0,0.0,0,0
9,9,2011-11-13,26-033,CHI,,DET,W 37-13,3,0,0,,0,0,0,0.0,0,0
10,10,2011-11-20,26-040,CHI,,SDG,W 31-20,1,1,4,4.00,1,1,6,0.0,0,0
11,11,2011-11-27,26-047,CHI,@,OAK,L 20-25,2,2,25,12.50,1,1,6,0.0,0,0
12,12,2011-12-04,26-054,CHI,,KAN,L 3-10,2,2,40,20.00,0,0,0,0.0,0,0
13,13,2011-12-11,26-061,CHI,@,DEN,L 10-13,1,0,0,,0,0,0,0.0,0,0
14,14,2011-12-18,26-068,CHI,,SEA,L 14-38,3,1,10,10.00,0,0,0,0.0,1,0
15,15,2011-12-25,26-075,CHI,@,GNB,L 21-35,3,3,21,7.00,1,1,6,0.0,0,0
16,16,2012-01-01,26-082,CHI,@,MIN,W 17-13,,,,,,,,,,
,,16 Games,,,,,8-8-0,35,18,206,11.44,5,5,30,0.0,1,0
