
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,27-272,CHI,,CIN,W 24-21,19,50,2.63,1,6,4,41,10.25,0,,1,6,0.0,0,0
2,2,2013-09-15,27-279,CHI,,MIN,W 31-30,20,88,4.40,0,11,10,73,7.30,0,,0,0,0.0,1,0
3,3,2013-09-22,27-286,CHI,@,PIT,W 40-23,16,87,5.44,1,4,4,24,6.00,0,,1,6,0.0,0,0
4,4,2013-09-29,27-293,CHI,@,DET,L 32-40,14,95,6.79,1,6,5,22,4.40,0,,1,6,0.0,0,0
5,5,2013-10-06,27-300,CHI,,NOR,L 18-26,12,55,4.58,0,6,4,40,10.00,0,1,0,2,0.0,0,0
6,6,2013-10-10,27-304,CHI,,NYG,W 27-21,19,67,3.53,0,6,6,44,7.33,0,,0,0,0.0,0,0
7,7,2013-10-20,27-314,CHI,@,WAS,L 41-45,16,91,5.69,3,3,2,18,9.00,0,,3,18,0.0,0,0
8,8,2013-11-04,27-329,CHI,@,GNB,W 27-20,24,125,5.21,1,8,5,54,10.80,0,,1,6,0.0,0,0
9,9,2013-11-10,27-335,CHI,,DET,L 19-21,17,33,1.94,0,7,4,16,4.00,0,,0,0,0.0,0,0
10,10,2013-11-17,27-342,CHI,,BAL,W 23-20,18,83,4.61,0,6,5,42,8.40,1,,1,6,0.0,0,0
11,11,2013-11-24,27-349,CHI,@,STL,L 21-42,16,77,4.81,0,9,7,40,5.71,0,,0,0,0.0,1,0
12,12,2013-12-01,27-356,CHI,@,MIN,L 20-23,23,120,5.22,0,2,2,31,15.50,0,,0,0,0.0,1,0
13,13,2013-12-09,27-364,CHI,,DAL,W 45-28,20,102,5.10,0,9,7,73,10.43,1,,1,6,0.0,0,0
14,14,2013-12-15,28-005,CHI,@,CLE,W 38-31,24,127,5.29,0,3,1,4,4.00,0,,0,0,0.0,0,0
15,15,2013-12-22,28-012,CHI,@,PHI,L 11-54,9,29,3.22,0,5,4,25,6.25,0,,0,0,0.0,0,0
16,16,2013-12-29,28-019,CHI,,GNB,L 28-33,22,110,5.00,2,4,4,47,11.75,1,,3,18,0.0,1,0
,,16 Games,,,,,8-8-0,289,1339,4.63,9,95,74,594,8.03,3,1,12,74,0.0,4,0
