
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,28-271,CHI,,BUF,L 20-23,17,82,4.82,0,9,8,87,10.88,0,,0,0,0.0,0,0
2,2,2014-09-14,28-278,CHI,@,SFO,W 28-20,12,21,1.75,0,8,5,15,3.00,0,,0,0,0.0,0,0
3,3,2014-09-22,28-286,CHI,@,NYJ,W 27-19,13,33,2.54,0,7,6,43,7.17,0,,0,0,0.0,0,0
4,4,2014-09-28,28-292,CHI,,GNB,L 17-38,23,122,5.30,0,6,5,49,9.80,0,,0,0,0.0,1,0
5,5,2014-10-05,28-299,CHI,@,CAR,L 24-31,17,61,3.59,0,12,12,105,8.75,1,,1,6,0.0,0,0
6,6,2014-10-12,28-306,CHI,@,ATL,W 27-13,17,80,4.71,2,13,10,77,7.70,0,,2,12,0.0,0,0
7,7,2014-10-19,28-313,CHI,,MIA,L 14-27,12,49,4.08,1,7,6,60,10.00,1,,2,12,0.0,1,0
8,8,2014-10-26,28-320,CHI,@,NWE,L 23-51,19,114,6.00,0,8,6,54,9.00,1,1,1,8,0.0,0,0
9,9,2014-11-09,28-334,CHI,@,GNB,L 14-55,17,54,3.18,0,7,3,27,9.00,0,,0,0,0.0,1,0
10,10,2014-11-16,28-341,CHI,,MIN,W 21-13,26,117,4.50,0,6,6,58,9.67,0,,0,0,0.0,0,0
11,11,2014-11-23,28-348,CHI,,TAM,W 21-13,23,89,3.87,2,6,5,23,4.60,0,,2,12,0.0,0,0
12,12,2014-11-27,28-352,CHI,@,DET,L 17-34,5,6,1.20,0,9,6,52,8.67,0,,0,0,0.0,0,0
13,13,2014-12-04,28-359,CHI,,DAL,L 28-41,13,26,2.00,1,9,8,74,9.25,0,1,1,8,0.0,0,0
14,14,2014-12-15,29-005,CHI,,NOR,L 15-31,16,78,4.88,0,5,2,21,10.50,0,,0,0,0.0,0,0
15,15,2014-12-21,29-011,CHI,,DET,L 14-20,19,55,2.89,0,6,6,40,6.67,1,,1,6,0.0,0,0
16,16,2014-12-28,29-018,CHI,@,MIN,L 9-13,17,51,3.00,0,12,8,23,2.88,0,,0,0,0.0,0,0
,,16 Games,,,,,5-11-0,266,1038,3.90,6,130,102,808,7.92,4,2,10,64,0.0,3,0
