
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2013-09-08,30-132,CHI,,CIN,W 24-21,*,21,33,63.64,242,2,1,93.2,7.33,7.18,3,16,5.33,0
2,2,2013-09-15,30-139,CHI,,MIN,W 31-30,*,27,38,71.05,292,3,2,97.7,7.68,6.89,3,9,3.00,0
3,3,2013-09-22,30-146,CHI,@,PIT,W 40-23,*,20,30,66.67,159,1,0,90.8,5.30,5.97,4,11,2.75,0
4,4,2013-09-29,30-153,CHI,@,DET,L 32-40,*,27,47,57.45,317,2,3,65.6,6.74,4.72,1,9,9.00,0
5,5,2013-10-06,30-160,CHI,,NOR,L 18-26,*,24,33,72.73,358,2,0,128.1,10.85,12.06,4,27,6.75,0
6,6,2013-10-10,30-164,CHI,,NYG,W 27-21,*,24,36,66.67,262,2,0,106.5,7.28,8.39,3,20,6.67,0
7,7,2013-10-20,30-174,CHI,@,WAS,L 41-45,*,3,8,37.50,28,0,1,8.3,3.50,-2.13,0,0,,0
8,9,2013-11-10,30-195,CHI,,DET,L 19-21,*,21,40,52.50,250,1,1,69.8,6.25,5.63,0,0,,0
9,14,2013-12-15,30-230,CHI,@,CLE,W 38-31,*,22,31,70.97,265,3,2,102.2,8.55,7.58,3,11,3.67,0
10,15,2013-12-22,30-237,CHI,@,PHI,L 11-54,*,20,35,57.14,222,1,1,73.8,6.34,5.63,2,15,7.50,0
11,16,2013-12-29,30-244,CHI,,GNB,L 28-33,*,15,24,62.50,226,2,1,103.8,9.42,9.21,0,0,,0
,,11 Games,,,,,5-6-0,,224,355,63.10,2621,19,12,89.2,7.38,6.93,23,118,5.13,0
