
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,4,2011-10-02,28-114,CHI,,CAR,W 34-29,5,17,3.40,1,0,0,0,,0,1,6,0.0,0,0
2,5,2011-10-10,28-122,CHI,@,DET,L 13-24,1,3,3.00,0,1,1,7,7.00,0,0,0,0.0,0,0
3,6,2011-10-16,28-128,CHI,,MIN,W 39-10,11,32,2.91,1,1,1,3,3.00,0,1,6,0.0,0,0
4,7,2011-10-23,28-135,CHI,@,TAM,W 24-18,6,39,6.50,1,1,0,0,,0,1,6,0.0,1,0
5,8,2011-11-07,28-150,CHI,@,PHI,W 30-24,9,31,3.44,1,1,1,8,8.00,0,1,6,0.0,0,0
6,9,2011-11-13,28-156,CHI,,DET,W 37-13,13,27,2.08,0,0,0,0,,0,0,0,0.0,0,0
7,10,2011-11-20,28-163,CHI,,SDG,W 31-20,7,25,3.57,1,0,0,0,,0,1,6,0.0,0,0
8,11,2011-11-27,28-170,CHI,@,OAK,L 20-25,10,63,6.30,0,0,0,0,,0,0,0,0.0,0,0
9,12,2011-12-04,28-177,CHI,,KAN,L 3-10,14,44,3.14,0,1,0,0,,0,0,0,0.0,0,0
10,13,2011-12-11,28-184,CHI,@,DEN,L 10-13,27,108,4.00,1,4,2,32,16.00,0,1,6,0.0,0,0
11,14,2011-12-18,28-191,CHI,,SEA,L 14-38,11,33,3.00,0,0,0,0,,0,0,0,0.0,0,0
,,11 Games,,,,,6-5-0,114,422,3.70,6,9,5,50,10.00,0,6,36,0.0,1,0
