
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
17,Ryan Tannehill,24,QB,16,16,7-9-0,282,484,58.3,3294,12,2.5,13,2.7,80,6.8,6.1,11.7,205.9,76.1,50.44,35,234,5.90,5.23,6.7,1,1
8,Matt Moore,28,,2,0,,11,19,57.9,131,1,5.3,0,0.0,37,6.9,7.9,11.9,65.5,96.6,67.1,2,9,5.81,6.76,9.5,,
2,Brandon Fields,28,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,0.0,,
,Team Total,25.7,,16,,7-9-0,293,504,58.1,3425,13,2.6,13,2.6,80,6.8,6.2,11.7,214.1,76.7,,37,243,5.88,5.28,6.8,1,1
,Opp Total,,,16,,,353,600,58.8,4216,18,3.0,10,1.7,,7.0,6.88,11.9,263.5,83.4,,42,242,6.2,6.0,6.5,,
