
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
4,Matt Moore,27,QB,13,12,4-6-0,210,347,60.5,2497,16,4.6,9,2.6,65,7.2,7.0,11.9,192.1,87.1,54.54,36,229,5.92,5.70,9.4,1,1
7,Chad Henne,26,,4,4,0-4-0,64,112,57.1,868,4,3.6,4,3.6,41,7.8,6.9,13.6,217.0,79.0,64.68,11,67,6.51,5.70,8.9,,
6,J.P. Losman,30,,2,0,,6,10,60.0,60,0,0.0,0,0.0,25,6.0,6.0,10.0,30.0,77.1,2.2,5,38,1.47,1.47,33.3,,
,Team Total,26.6,,16,,6-10-0,280,469,59.7,3425,20,4.3,13,2.8,65,7.3,6.9,12.2,214.1,84.9,,52,334,5.93,5.58,10.0,1,1
,Opp Total,,,16,,,350,590,59.3,4233,24,4.1,16,2.7,,7.2,6.77,12.1,264.6,83.7,,41,241,6.3,5.9,6.5,,
