
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,23-135,MIA,,NWE,W 33-20,11,59,5.36,0,5,4,19,4.75,1,1,6,0.0,0,0
2,2,2014-09-14,23-142,MIA,@,BUF,L 10-29,11,46,4.18,0,5,2,7,3.50,0,0,0,0.0,0,0
3,3,2014-09-21,23-149,MIA,,KAN,L 15-34,15,108,7.20,0,5,4,24,6.00,0,0,0,0.0,0,0
4,4,2014-09-28,23-156,MIA,@,OAK,W 38-14,12,64,5.33,2,2,2,3,1.50,0,2,12,0.0,0,0
5,5,2014-10-12,23-170,MIA,,GNB,L 24-27,14,53,3.79,1,3,3,40,13.33,0,1,6,0.0,0,0
6,6,2014-10-19,23-177,MIA,@,CHI,W 27-14,18,61,3.39,1,3,2,22,11.00,0,1,6,0.0,0,0
7,7,2014-10-26,23-184,MIA,@,JAX,W 27-13,14,78,5.57,0,3,3,21,7.00,0,0,0,0.0,0,0
8,8,2014-11-02,23-191,MIA,,SDG,W 37-0,11,49,4.45,1,2,1,8,8.00,0,1,6,0.0,0,0
9,9,2014-11-09,23-198,MIA,@,DET,L 16-20,4,10,2.50,0,2,1,-4,-4.00,0,0,0,0.0,0,0
10,10,2014-11-13,23-202,MIA,,BUF,W 22-9,15,86,5.73,0,2,2,12,6.00,0,0,0,0.0,0,0
11,11,2014-11-23,23-212,MIA,@,DEN,L 36-39,12,59,4.92,0,1,1,8,8.00,0,0,0,0.0,0,0
12,12,2014-12-01,23-220,MIA,@,NYJ,W 16-13,13,56,4.31,1,3,2,11,5.50,0,1,6,0.0,1,0
13,13,2014-12-07,23-226,MIA,,BAL,L 13-28,12,53,4.42,0,5,5,36,7.20,0,0,0,0.0,0,0
14,14,2014-12-14,23-233,MIA,@,NWE,L 13-41,16,47,2.94,0,2,1,10,10.00,0,0,0,0.0,0,0
15,15,2014-12-21,23-240,MIA,,MIN,W 37-35,19,92,4.84,1,7,5,58,11.60,0,1,6,0.0,0,0
16,16,2014-12-28,23-247,MIA,,NYJ,L 24-37,19,178,9.37,1,2,0,0,,0,1,6,0.0,0,0
,,16 Games,,,,,8-8-0,216,1099,5.09,8,52,38,275,7.24,1,9,54,0.0,1,0
