
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
17,Ryan Tannehill,25,QB,16,16,8-8-0,355,588,60.4,3913,24,4.1,17,2.9,67,6.7,6.2,11.0,244.6,81.7,45.78,58,399,5.44,5.00,9.0,4,3
8,Matt Moore,29,,1,0,,2,6,33.3,53,0,0.0,2,33.3,50,8.8,-6.2,26.5,53.0,27.1,1.25,0,0,8.83,-6.17,0.0,,
,Team Total,25.6,,16,,8-8-0,357,594,60.1,3966,24,4.0,19,3.2,67,6.7,6.0,11.1,247.9,80.1,,58,399,5.47,4.90,8.9,4,3
,Opp Total,,,16,,,344,580,59.3,4024,17,2.9,18,3.1,,6.9,6.13,11.7,251.5,77.3,,42,272,6.0,5.3,6.8,,
