
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,4,2011-10-02,26-104,GNB,,DEN,W 49-23,,0,1,0.00,0,0,1,0.0,0.00,-45.00,2,-2,-1.00,0,0,0
2,9,2011-11-14,26-147,GNB,,MIN,W 45-7,,2,2,100.00,38,0,0,118.7,19.00,19.00,4,0,0.00,1,1,6
3,13,2011-12-11,26-174,GNB,,OAK,W 46-16,,0,2,0.00,0,0,0,39.6,0.00,0.00,3,-2,-0.67,0,0,0
4,15,2011-12-25,26-188,GNB,,CHI,W 35-21,,0,0,,0,0,0,,,,2,-2,-1.00,0,0,0
5,16,2012-01-01,26-195,GNB,,DET,W 45-41,*,31,44,70.45,480,6,1,136.4,10.91,12.61,2,0,0.00,0,0,0
,,5 Games,,,,,5-0-0,,33,49,67.35,518,6,2,124.8,10.57,11.18,13,-6,-0.46,1,1,6
