
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,28-354,GNB,,SFO,L 22-30,9,5,34,6.80,0,0,0
2,3,2012-09-24,29-003,GNB,@,SEA,L 12-14,10,6,35,5.83,0,0,0
3,4,2012-09-30,29-009,GNB,,NOR,W 28-27,3,1,9,9.00,1,1,6
4,12,2012-12-02,29-072,GNB,,MIN,W 23-14,8,4,46,11.50,0,0,0
5,13,2012-12-09,29-079,GNB,,DET,W 27-20,4,1,27,27.00,0,0,0
6,14,2012-12-16,29-086,GNB,@,CHI,W 21-13,7,4,50,12.50,0,0,0
7,15,2012-12-23,29-093,GNB,,TEN,W 55-7,9,7,45,6.43,1,1,6
8,16,2012-12-30,29-100,GNB,@,MIN,L 34-37,12,8,120,15.00,2,2,12
,,8 Games,,,,,5-3-0,62,36,366,10.17,4,4,24
