
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,23-017,GNB,@,SFO,L 28-34,12,7,108,15.43,1,2,6,3.00,0,0,0,,0,1,16,16.00,0,1,6,0.0,0,0
2,2,2013-09-15,23-024,GNB,,WAS,W 38-20,10,9,128,14.22,1,0,0,,0,1,10,10.00,0,0,0,,0,1,6,0.0,0,0
3,3,2013-09-22,23-031,GNB,@,CIN,L 30-34,11,5,54,10.80,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0
4,4,2013-10-06,23-045,GNB,,DET,W 22-9,8,4,35,8.75,0,2,72,36.00,0,0,0,,0,2,7,3.50,0,0,0,0.0,0,0
5,5,2013-10-13,23-052,GNB,@,BAL,W 19-17,4,4,53,13.25,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,16,2013-12-29,23-129,GNB,@,CHI,W 33-28,2,2,55,27.50,2,0,0,,0,0,0,,0,0,0,,0,2,12,0.0,0,0
,,6 Games,,,,,4-2-0,47,31,433,13.97,4,4,78,19.50,0,1,10,10.00,0,3,23,7.67,0,4,24,0.0,2,0
