
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,28-162,GNB,,SFO,L 22-30,6,4,81,20.25,1,1,6
2,2,2012-09-13,28-166,GNB,,CHI,W 23-10,5,2,-1,-0.50,0,0,0
3,3,2012-09-24,28-177,GNB,@,SEA,L 12-14,6,5,55,11.00,0,0,0
4,4,2012-09-30,28-183,GNB,,NOR,W 28-27,6,5,56,11.20,2,2,12
5,5,2012-10-07,28-190,GNB,@,IND,L 27-30,7,4,46,11.50,2,2,12
6,6,2012-10-14,28-197,GNB,@,HOU,W 42-24,7,3,33,11.00,2,2,12
7,7,2012-10-21,28-204,GNB,@,STL,W 30-20,10,6,53,8.83,0,0,0
8,8,2012-10-28,28-211,GNB,,JAX,W 24-15,9,7,78,11.14,0,0,0
9,9,2012-11-04,28-218,GNB,,ARI,W 31-17,7,4,61,15.25,1,1,6
10,10,2012-11-18,28-232,GNB,@,DET,W 24-20,4,2,33,16.50,0,0,0
11,11,2012-11-25,28-239,GNB,@,NYG,L 10-38,,,,,,,
12,12,2012-12-02,28-246,GNB,,MIN,W 23-14,2,2,40,20.00,1,1,6
13,13,2012-12-09,28-253,GNB,,DET,W 27-20,5,2,27,13.50,0,0,0
14,14,2012-12-16,28-260,GNB,@,CHI,W 21-13,7,5,60,12.00,3,3,18
15,15,2012-12-23,28-267,GNB,,TEN,W 55-7,10,7,100,14.29,1,1,6
16,16,2012-12-30,28-274,GNB,@,MIN,L 34-37,7,6,62,10.33,1,1,6
,,16 Games,,,,,11-5-0,98,64,784,12.25,14,14,84
