
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-08,26-100,GNB,,NOR,W 42-34,8,6,77,12.83,1,1,6,0.0,0,0
2,2,2011-09-18,26-110,GNB,@,CAR,W 30-23,2,1,84,84.00,1,1,6,0.0,0,0
3,3,2011-09-25,26-117,GNB,@,CHI,W 27-17,5,3,40,13.33,0,0,0,0.0,1,0
4,4,2011-10-02,26-124,GNB,,DEN,W 49-23,6,5,91,18.20,1,1,6,0.0,0,0
5,5,2011-10-09,26-131,GNB,@,ATL,W 25-14,7,3,17,5.67,0,0,0,0.0,0,0
6,6,2011-10-16,26-138,GNB,,STL,W 24-3,3,2,104,52.00,1,1,6,0.0,0,0
7,7,2011-10-23,26-145,GNB,@,MIN,W 33-27,4,4,52,13.00,0,0,0,0.0,0,0
8,8,2011-11-06,26-159,GNB,@,SDG,W 45-38,6,5,105,21.00,1,1,6,0.0,0,0
9,9,2011-11-14,26-167,GNB,,MIN,W 45-7,5,5,63,12.60,2,2,12,0.0,0,0
10,10,2011-11-20,26-173,GNB,,TAM,W 35-26,7,6,123,20.50,2,2,12,0.0,0,0
11,11,2011-11-24,26-177,GNB,@,DET,W 27-15,6,4,26,6.50,0,0,0,0.0,0,0
12,12,2011-12-04,26-187,GNB,@,NYG,W 38-35,4,4,94,23.50,0,0,0,0.0,0,0
13,13,2011-12-11,26-194,GNB,,OAK,W 46-16,7,3,81,27.00,1,1,6,0.0,0,0
14,14,2011-12-18,26-201,GNB,@,KAN,L 14-19,4,2,29,14.50,0,0,0,0.0,0,0
15,15,2011-12-25,26-208,GNB,,CHI,W 35-21,7,6,115,19.17,2,2,12,0.0,0,0
16,16,2012-01-01,26-215,GNB,,DET,W 45-41,15,9,162,18.00,3,3,18,0.0,0,0
,,16 Games,,,,,15-1-0,96,68,1263,18.57,15,15,90,0.0,1,0
