
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-04,24-094,GNB,@,SEA,L 16-36,12,34,2.83,0,3,3,11,3.67,0,0,0,0.0,0,0
2,2,2014-09-14,24-104,GNB,,NYJ,W 31-24,13,43,3.31,0,3,2,18,9.00,0,0,0,0.0,0,0
3,3,2014-09-21,24-111,GNB,@,DET,L 7-19,11,36,3.27,0,1,1,9,9.00,0,0,0,0.0,0,0
4,4,2014-09-28,24-118,GNB,@,CHI,W 38-17,17,48,2.82,1,2,1,11,11.00,0,1,6,0.0,0,0
5,5,2014-10-02,24-122,GNB,,MIN,W 42-10,13,105,8.08,2,3,3,27,9.00,0,2,12,0.0,0,0
6,6,2014-10-12,24-132,GNB,@,MIA,W 27-24,14,40,2.86,0,0,0,0,,0,0,0,0.0,0,0
7,7,2014-10-19,24-139,GNB,,CAR,W 38-17,12,63,5.25,1,3,3,10,3.33,0,1,6,0.0,0,0
8,8,2014-10-26,24-146,GNB,@,NOR,L 23-44,13,59,4.54,0,9,8,123,15.38,0,0,0,0.0,1,0
9,9,2014-11-09,24-160,GNB,,CHI,W 55-14,14,50,3.57,0,6,3,68,22.67,1,1,6,0.0,0,0
10,10,2014-11-16,24-167,GNB,,PHI,W 53-20,10,69,6.90,1,4,3,45,15.00,1,2,12,0.0,0,0
11,11,2014-11-23,24-174,GNB,@,MIN,W 24-21,25,125,5.00,1,2,2,13,6.50,1,2,12,0.0,0,0
12,12,2014-11-30,24-181,GNB,,NWE,W 26-21,21,98,4.67,0,3,2,17,8.50,0,0,0,0.0,0,0
13,13,2014-12-08,24-189,GNB,,ATL,W 43-37,13,73,5.62,1,9,5,33,6.60,1,2,12,0.0,0,0
14,14,2014-12-14,24-195,GNB,@,BUF,L 13-21,15,97,6.47,1,2,2,11,5.50,0,1,6,0.0,0,0
15,15,2014-12-21,24-202,GNB,@,TAM,W 20-3,17,99,5.82,1,1,1,5,5.00,0,1,6,0.0,0,0
16,16,2014-12-28,24-209,GNB,,DET,W 30-20,26,100,3.85,0,4,3,26,8.67,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,246,1139,4.63,9,55,42,427,10.17,4,13,78,0.0,1,0
