
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-07,31-116,SFO,@,DAL,W 28-17,16,66,4.13,0,0,0,0,,0,0,0
2,2,2014-09-14,31-123,SFO,,CHI,L 20-28,13,63,4.85,1,2,2,12,6.00,0,1,6
3,3,2014-09-21,31-130,SFO,@,ARI,L 14-23,6,10,1.67,0,0,0,0,,0,0,0
4,4,2014-09-28,31-137,SFO,,PHI,W 26-21,24,119,4.96,0,2,1,55,55.00,1,1,6
5,5,2014-10-05,31-144,SFO,,KAN,W 22-17,18,107,5.94,0,1,1,1,1.00,0,0,0
6,6,2014-10-13,31-152,SFO,@,STL,W 31-17,16,38,2.38,0,1,0,0,,0,0,0
7,7,2014-10-19,31-158,SFO,@,DEN,L 17-42,9,20,2.22,0,1,0,0,,0,0,0
8,8,2014-11-02,31-172,SFO,,STL,L 10-13,14,49,3.50,0,3,1,9,9.00,0,0,0
9,9,2014-11-09,31-179,SFO,@,NOR,W 27-24,23,81,3.52,1,1,1,2,2.00,0,1,6
10,10,2014-11-16,31-186,SFO,@,NYG,W 16-10,19,95,5.00,0,3,2,19,9.50,0,0,0
11,11,2014-11-23,31-193,SFO,,WAS,W 17-13,13,36,2.77,0,0,0,0,,0,0,0
12,12,2014-11-27,31-197,SFO,,SEA,L 3-19,10,28,2.80,0,2,1,8,8.00,0,0,0
13,13,2014-12-07,31-207,SFO,@,OAK,L 13-24,12,63,5.25,0,0,0,0,,0,0,0
14,14,2014-12-14,31-214,SFO,@,SEA,L 7-17,11,29,2.64,1,0,0,0,,0,1,6
15,15,2014-12-20,31-220,SFO,,SDG,L 35-38,26,158,6.08,1,0,0,0,,0,1,6
16,16,2014-12-28,31-228,SFO,,ARI,W 20-17,25,144,5.76,0,3,2,5,2.50,0,0,0
,,16 Games,,,,,8-8-0,255,1106,4.34,4,19,11,111,10.09,1,5,30
