
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,24-361,SFO,@,GNB,W 30-22,9,7,76,10.86,0,0,0,,0,0,0
2,2,2012-09-16,25-002,SFO,,DET,W 27-19,7,6,67,11.17,0,0,0,,0,0,0
3,3,2012-09-23,25-009,SFO,@,MIN,L 13-24,8,6,40,6.67,0,0,0,,0,0,0
4,4,2012-09-30,25-016,SFO,@,NYJ,W 34-0,7,2,15,7.50,0,0,0,,0,0,0
5,5,2012-10-07,25-023,SFO,,BUF,W 45-3,7,6,113,18.83,1,0,0,,0,1,6
6,6,2012-10-14,25-030,SFO,,NYG,L 3-26,6,3,26,8.67,0,0,0,,0,0,0
7,7,2012-10-18,25-034,SFO,,SEA,W 13-6,6,4,31,7.75,0,0,0,,0,0,0
8,8,2012-10-29,25-045,SFO,@,ARI,W 24-3,5,5,72,14.40,2,1,8,8.00,0,2,12
9,9,2012-11-11,25-058,SFO,,STL,T 24-24,6,5,70,14.00,1,0,0,,0,1,6
10,10,2012-11-19,25-066,SFO,,CHI,W 32-7,5,3,31,10.33,1,0,0,,0,1,6
11,11,2012-11-25,25-072,SFO,@,NOR,W 31-21,5,3,26,8.67,0,0,0,,0,0,0
12,12,2012-12-02,25-079,SFO,@,STL,L 13-16,11,7,101,14.43,0,0,0,,0,0,0
13,13,2012-12-09,25-086,SFO,,MIA,W 27-13,11,9,93,10.33,0,0,0,,0,0,0
14,14,2012-12-16,25-093,SFO,@,NWE,W 41-34,12,7,107,15.29,2,0,0,,0,2,12
15,15,2012-12-23,25-100,SFO,@,SEA,L 13-42,9,4,65,16.25,0,0,0,,0,0,0
16,16,2012-12-30,25-107,SFO,,ARI,W 27-13,13,8,172,21.50,2,0,0,,0,2,12
,,16 Games,,,,,11-4-1,127,85,1105,13.00,9,1,8,8.00,0,9,54
