
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2012-09-09,28-125,SFO,@,GNB,W 30-22,*,20,26,76.92,211,2,0,125.6,8.12,9.65,5,13,2.60,0
2,2,2012-09-16,28-132,SFO,,DET,W 27-19,*,20,31,64.52,226,2,0,107.7,7.29,8.58,4,7,1.75,0
3,3,2012-09-23,28-139,SFO,@,MIN,L 13-24,*,24,35,68.57,204,1,1,81.1,5.83,5.11,4,26,6.50,0
4,4,2012-09-30,28-146,SFO,@,NYJ,W 34-0,*,12,21,57.14,143,0,0,78.1,6.81,6.81,3,12,4.00,0
5,5,2012-10-07,28-153,SFO,,BUF,W 45-3,*,18,24,75.00,303,3,0,156.2,12.63,15.13,3,49,16.33,0
6,6,2012-10-14,28-160,SFO,,NYG,L 3-26,*,19,30,63.33,200,0,3,43.1,6.67,2.17,2,5,2.50,0
7,7,2012-10-18,28-164,SFO,,SEA,W 13-6,*,14,23,60.87,140,1,1,74.5,6.09,5.00,5,11,2.20,0
8,8,2012-10-29,28-175,SFO,@,ARI,W 24-3,*,18,19,94.74,232,3,0,157.1,12.21,15.37,1,6,6.00,0
9,9,2012-11-11,28-188,SFO,,STL,T 24-24,*,7,8,87.50,72,1,0,143.7,9.00,11.50,2,5,2.50,0
10,16,2012-12-30,28-237,SFO,,ARI,W 27-13,,1,1,100.00,6,0,0,91.7,6.00,6.00,2,-2,-1.00,0
,,10 Games,,,,,7-2-1,,153,218,70.18,1737,13,5,104.1,7.97,8.13,31,132,4.26,0
