
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,24-311,SFO,@,GNB,W 30-22,,0,0,,0,0,0,,,,1,17,17.00,0,0,0
2,4,2012-09-30,24-332,SFO,@,NYJ,W 34-0,,0,1,0.00,0,0,0,39.6,0.00,0.00,5,50,10.00,1,1,6
3,5,2012-10-07,24-339,SFO,,BUF,W 45-3,,1,1,100.00,7,0,0,95.8,7.00,7.00,4,39,9.75,1,1,6
4,6,2012-10-14,24-346,SFO,,NYG,L 3-26,,4,7,57.14,82,0,0,98.5,11.71,11.71,2,6,3.00,0,0,0
5,7,2012-10-18,24-350,SFO,,SEA,W 13-6,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0
6,9,2012-11-11,25-008,SFO,,STL,T 24-24,,11,17,64.71,117,0,0,84.7,6.88,6.88,8,66,8.25,1,1,6
7,10,2012-11-19,25-016,SFO,,CHI,W 32-7,*,16,23,69.57,243,2,0,133.1,10.57,12.30,4,10,2.50,0,0,0
8,11,2012-11-25,25-022,SFO,@,NOR,W 31-21,*,16,25,64.00,231,1,1,90.6,9.24,8.24,6,27,4.50,1,1,6
9,12,2012-12-02,25-029,SFO,@,STL,L 13-16,*,21,32,65.63,208,0,0,83.9,6.50,6.50,9,84,9.33,0,0,0
10,13,2012-12-09,25-036,SFO,,MIA,W 27-13,*,18,23,78.26,185,0,0,100.2,8.04,8.04,6,53,8.83,1,1,6
11,14,2012-12-16,25-043,SFO,@,NWE,W 41-34,*,14,25,56.00,221,4,1,108.5,8.84,10.24,7,28,4.00,0,0,0
12,15,2012-12-23,25-050,SFO,@,SEA,L 13-42,*,19,36,52.78,244,1,1,72.0,6.78,6.08,7,31,4.43,0,0,0
13,16,2012-12-30,25-057,SFO,,ARI,W 27-13,*,16,28,57.14,276,2,0,114.6,9.86,11.29,3,5,1.67,0,0,0
,,13 Games,,,,,9-3-1,,136,218,62.39,1814,10,3,98.3,8.32,8.62,63,415,6.59,5,5,30
