
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,28-222,SFO,@,GNB,W 30-22,5,3,43,14.33,1,1,6
2,2,2012-09-16,28-229,SFO,,DET,W 27-19,7,5,73,14.60,2,2,12
3,3,2012-09-23,28-236,SFO,@,MIN,L 13-24,8,5,53,10.60,1,1,6
4,4,2012-09-30,28-243,SFO,@,NYJ,W 34-0,2,2,28,14.00,0,0,0
5,5,2012-10-07,28-250,SFO,,BUF,W 45-3,7,5,106,21.20,0,0,0
6,6,2012-10-14,28-257,SFO,,NYG,L 3-26,5,3,37,12.33,0,0,0
7,7,2012-10-18,28-261,SFO,,SEA,W 13-6,,0,0,,0,0,0
8,8,2012-10-29,28-272,SFO,@,ARI,W 24-3,2,2,34,17.00,0,0,0
9,9,2012-11-11,28-285,SFO,,STL,T 24-24,5,4,30,7.50,0,0,0
10,10,2012-11-19,28-293,SFO,,CHI,W 32-7,8,6,83,13.83,1,1,6
11,11,2012-11-25,28-299,SFO,@,NOR,W 31-21,1,0,0,,0,0,0
12,12,2012-12-02,28-306,SFO,@,STL,L 13-16,3,2,15,7.50,0,0,0
13,13,2012-12-09,28-313,SFO,,MIA,W 27-13,2,1,4,4.00,0,0,0
14,14,2012-12-16,28-320,SFO,@,NWE,W 41-34,3,1,10,10.00,0,0,0
15,15,2012-12-23,28-327,SFO,@,SEA,L 13-42,1,1,27,27.00,0,0,0
16,16,2012-12-30,28-334,SFO,,ARI,W 27-13,2,1,5,5.00,0,0,0
,,16 Games,,,,,11-4-1,61,41,548,13.37,5,5,30
