
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2013-09-08,30-117,SFO,,GNB,W 34-28,21,44,2.10,1,2,2,21,10.50,0,1,6
2,2,2013-09-15,30-124,SFO,@,SEA,L 3-29,9,16,1.78,0,4,1,14,14.00,0,0,0
3,3,2013-09-22,30-131,SFO,,IND,L 7-27,11,82,7.45,0,4,2,21,10.50,0,0,0
4,4,2013-09-26,30-135,SFO,@,STL,W 35-11,20,153,7.65,1,2,0,0,,0,1,6
5,5,2013-10-06,30-145,SFO,,HOU,W 34-3,17,81,4.76,1,0,0,0,,0,1,6
6,6,2013-10-13,30-152,SFO,,ARI,W 32-20,25,101,4.04,0,0,0,0,,0,0,0
7,7,2013-10-20,30-159,SFO,@,TEN,W 31-17,24,70,2.92,2,3,2,34,17.00,0,2,12
8,8,2013-10-27,30-166,SFO,@,JAX,W 42-10,19,71,3.74,2,1,1,6,6.00,0,2,12
9,9,2013-11-10,30-180,SFO,,CAR,L 9-10,16,82,5.13,0,2,2,21,10.50,0,0,0
10,10,2013-11-17,30-187,SFO,@,NOR,L 20-23,13,48,3.69,0,3,2,8,4.00,0,0,0
11,11,2013-11-25,30-195,SFO,@,WAS,W 27-6,13,31,2.38,0,2,1,3,3.00,0,0,0
12,12,2013-12-01,30-201,SFO,,STL,W 23-13,15,42,2.80,1,2,2,7,3.50,0,1,6
13,13,2013-12-08,30-208,SFO,,SEA,W 19-17,17,110,6.47,0,1,0,0,,0,0,0
14,14,2013-12-15,30-215,SFO,@,TAM,W 33-14,22,86,3.91,0,0,0,0,,0,0,0
15,15,2013-12-23,30-223,SFO,,ATL,W 34-24,21,97,4.62,1,1,1,6,6.00,0,1,6
16,16,2013-12-29,30-229,SFO,@,ARI,W 23-20,13,14,1.08,0,0,0,0,,0,0,0
,,16 Games,,,,,12-4-0,276,1128,4.09,9,27,16,141,8.81,0,9,54
